trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2,3,4
1,0.3519386049194952,1,Composite,0,0,64,0.6451828372347419,-1.164848821121913,1,5163.300000011921,,,,
1,0.3519386049194952,1,Composite,0,1,248,-0.6173398417906273,0.22136645323994242,0,,,,,
1,0.3519386049194952,1,Composite,0,2,121,0.6126662689597892,0.03262209871401178,1,12769.20000000298,,,,
1,0.3519386049194952,1,Composite,0,3,315,0.8390757269263625,0.05572298847344426,1,12477.60000000894,,,,
1,0.3519386049194952,1,Composite,1,0,248,-0.7294996052125351,-0.6114833880270995,0,,,,,
1,0.3519386049194952,1,Composite,1,1,248,0.7738202437429363,-0.8686955157678943,0,,,,,
1,0.3519386049194952,1,Composite,1,2,248,-0.7947965953435934,1.2315210964037018,0,,,,,
1,0.3519386049194952,1,Composite,1,3,248,0.7167721672220747,-0.5611558819726041,0,,,,,
1,0.3519386049194952,1,Composite,2,0,248,0.7612893163521091,-1.182566701861797,0,,,,,
1,0.3519386049194952,1,Composite,2,1,248,0.7870983057540162,0.8173854615587346,0,,,,,
1,0.3519386049194952,1,Composite,2,2,248,0.8691964093188772,-1.0122475699840394,0,,,,,
1,0.3519386049194952,1,Composite,2,3,248,0.8384441244288214,0.8436675740857287,0,,,,,
1,0.3519386049194952,1,Composite,3,0,248,0.764675378468004,0.7151851081998655,0,,,,,
1,0.3519386049194952,1,Composite,3,1,248,0.8362887989972574,0.3705897539073293,0,,,,,
1,0.3519386049194952,1,Composite,3,2,342,0.7251165042674548,-1.3221930408217177,1,13221.10000000894,,,,
1,0.3519386049194952,1,Composite,3,3,125,0.7808614322374163,0.6605090649907277,1,13481.0,,,,
1,0.3519386049194952,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,27795.20000000298,147.0,,,
2,0.3449119507378324,1,Scale,0,0,365,-0.6360609609262013,0,0,,,,,
2,0.3449119507378324,1,Scale,0,1,143,0.8396311667578191,0,1,3443.20000000298,,,,
2,0.3449119507378324,1,Scale,0,2,365,0.7537340734445128,0,0,,,,,
2,0.3449119507378324,1,Scale,0,3,365,0.7279355949629672,0,0,,,,,
2,0.3449119507378324,1,Scale,0,4,365,0.7047401840014047,0,0,,,,,
2,0.3449119507378324,1,Scale,0,5,365,0.6714064311856229,0,0,,,,,
2,0.3449119507378324,1,Scale,1,0,365,0.786296015248581,0,0,,,,,
2,0.3449119507378324,1,Scale,1,1,330,0.8601181234740529,0,1,2807.0,,,,
2,0.3449119507378324,1,Scale,1,2,365,0.841294977225401,0,0,,,,,
2,0.3449119507378324,1,Scale,1,3,365,0.800197130799929,0,0,,,,,
2,0.3449119507378324,1,Scale,1,4,365,0.8064121468559506,0,0,,,,,
2,0.3449119507378324,1,Scale,1,5,365,0.7507523724071168,0,0,,,,,
2,0.3449119507378324,1,Scale,2,0,128,0.8792233541352541,0,1,2235.9000000059605,,,,
2,0.3449119507378324,1,Scale,2,1,365,-0.6066955348544587,0,0,,,,,
2,0.3449119507378324,1,Scale,2,2,365,0.8964997227616873,0,0,,,,,
2,0.3449119507378324,1,Scale,2,3,64,0.7224144845935893,0,1,5783.600000008941,,,,
2,0.3449119507378324,1,Scale,2,4,365,0.6905090767859379,0,0,,,,,
2,0.3449119507378324,1,Scale,2,5,365,0.763369988335912,0,0,,,,,
2,0.3449119507378324,1,Scale,3,0,365,0.7585367295607364,0,0,,,,,
2,0.3449119507378324,1,Scale,3,1,365,0.7191465238645233,0,0,,,,,
2,0.3449119507378324,1,Scale,3,2,7,0.691217731172498,0,1,4372.600000008941,,,,
2,0.3449119507378324,1,Scale,3,3,365,0.8582561222965921,0,0,,,,,
2,0.3449119507378324,1,Scale,3,4,124,0.791481665630974,0,1,6271.20000000298,,,,
2,0.3449119507378324,1,Scale,3,5,365,0.6757815543024615,0,0,,,,,
2,0.3449119507378324,1,Scale,4,0,365,0.7927673351354902,0,0,,,,,
2,0.3449119507378324,1,Scale,4,1,365,0.8817417284012294,0,0,,,,,
2,0.3449119507378324,1,Scale,4,2,365,0.7069730765246577,0,0,,,,,
2,0.3449119507378324,1,Scale,4,3,365,0.8909846830274596,0,0,,,,,
2,0.3449119507378324,1,Scale,4,4,174,0.6418180436922025,0,1,6751.300000011921,,,,
2,0.3449119507378324,1,Scale,4,5,342,0.7130672587875408,0,1,7741.5,,,,
2,0.3449119507378324,1,Scale,5,0,365,0.6248840550203227,0,0,,,,,
2,0.3449119507378324,1,Scale,5,1,365,0.8698629171288615,0,0,,,,,
2,0.3449119507378324,1,Scale,5,2,245,0.8036623555310374,0,1,4955.300000011921,,,,
2,0.3449119507378324,1,Scale,5,3,345,0.6087644970308919,0,1,8993.20000000298,,,,
2,0.3449119507378324,1,Scale,5,4,2,0.6941450698839953,0,1,7230.40000000596,,,,
2,0.3449119507378324,1,Scale,5,5,302,-0.6973948087942194,0,1,8293.20000000298,,,,
