trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2,3,4
2,0.3100726245330567,1,Composite,0,3,258,0.7076635833453078,1.3553081039745063,1,9129.5,,,,
2,0.3100726245330567,1,Composite,0,4,365,0.6736008521413166,0.17297549181463934,0,,,,,
2,0.3100726245330567,1,Composite,0,5,209,0.6702655554081033,-0.9271274523664471,1,11877.599999904633,,,,
2,0.3100726245330567,1,Composite,1,0,365,0.6328523354387392,-0.9841892779526441,0,,,,,
2,0.3100726245330567,1,Composite,1,1,365,0.8245120112995301,1.5577528095922637,0,,,,,
2,0.3100726245330567,1,Composite,1,2,349,0.7873839870769354,0.3913608354588105,1,6061.799999952316,,,,
2,0.3100726245330567,1,Composite,1,3,365,0.6490081841320198,0.23996476175724535,0,,,,,
2,0.3100726245330567,1,Composite,1,4,365,-0.7315178263863881,-1.5535812201512227,0,,,,,
2,0.3100726245330567,1,Composite,1,5,357,0.8616480868758438,1.0941026380161336,1,12318.0,,,,
2,0.3100726245330567,1,Composite,2,0,243,0.6906592619969121,1.3947740630275764,1,2915.599999904633,,,,
2,0.3100726245330567,1,Composite,2,1,365,0.7223610662946993,-0.41011010883267485,0,,,,,
2,0.3100726245330567,1,Composite,2,2,365,0.6958487566779653,-0.9856904097572384,0,,,,,
2,0.3100726245330567,1,Composite,2,3,365,-0.8827146594509553,-1.357320982284198,0,,,,,
2,0.3100726245330567,1,Composite,2,4,365,0.8645255754151857,-0.2368074565762064,0,,,,,
2,0.3100726245330567,1,Composite,2,5,304,0.6218019784695409,0.9623600981547558,1,12827.0,,,,
2,0.3100726245330567,1,Composite,3,0,365,0.6620347542886565,-1.080829197461962,0,,,,,
2,0.3100726245330567,1,Composite,3,1,94,0.7523447280866042,0.6610055411270723,1,4796.5,,,,
2,0.3100726245330567,1,Composite,3,2,365,0.7008446884518154,1.2853108486302283,0,,,,,
2,0.3100726245330567,1,Composite,3,3,365,0.6068950103435967,-0.32693131856847635,0,,,,,
2,0.3100726245330567,1,Composite,3,4,365,-0.7425049262433772,-0.47355994119606226,0,,,,,
2,0.3100726245330567,1,Composite,3,5,365,0.8170665536876731,-0.800957147750651,0,,,,,
2,0.3100726245330567,1,Composite,4,0,365,0.6402463259773185,1.4506328732407225,0,,,,,
2,0.3100726245330567,1,Composite,4,1,365,0.8349483387393088,1.4996081208981829,0,,,,,
2,0.3100726245330567,1,Composite,4,2,365,0.6153640834621908,-1.042105754695354,0,,,,,
2,0.3100726245330567,1,Composite,4,3,365,0.6582973765256587,-0.25125817166265296,0,,,,,
2,0.3100726245330567,1,Composite,4,4,365,0.7333262968564733,-0.20931873715060334,0,,,,,
2,0.3100726245330567,1,Composite,4,5,179,0.6281212596775552,-0.21213921605447528,1,13527.200000047684,,,,
2,0.3100726245330567,1,Composite,5,0,365,0.7728696875240989,-0.2087336414565646,0,,,,,
