trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2
1,0.3843028518132301,1,Scale,0,0,223,0.8340968147425355,0,0,,,
1,0.3843028518132301,1,Scale,0,1,223,-0.6856975336932306,0,0,,,
1,0.3843028518132301,1,Scale,0,2,21,0.8033715543837692,0,1,3218.29999999702,,
1,0.3843028518132301,1,Scale,0,3,223,0.6162168363812598,0,0,,,
1,0.3843028518132301,1,Scale,1,0,223,0.8453043521870528,0,0,,,
1,0.3843028518132301,1,Scale,1,1,223,0.850074934932138,0,0,,,
1,0.3843028518132301,1,Scale,1,2,223,0.663557320772314,0,0,,,
1,0.3843028518132301,1,Scale,1,3,237,0.7422509349359956,0,1,4576.0,,
1,0.3843028518132301,1,Scale,2,0,275,0.7308318989747171,0,1,1247.5,,
1,0.3843028518132301,1,Scale,2,1,317,0.6703900447261073,0,1,1851.29999999702,,
1,0.3843028518132301,1,Scale,2,2,223,0.7966148464927588,0,0,,,
1,0.3843028518132301,1,Scale,2,3,272,0.7261796206392079,0,1,5319.89999999851,,
1,0.3843028518132301,1,Scale,3,0,223,0.8884215400388884,0,0,,,
1,0.3843028518132301,1,Scale,3,1,374,0.7347396659914895,0,1,2737.10000000149,,
1,0.3843028518132301,1,Scale,3,2,223,0.8858092973316766,0,0,,,
1,0.3843028518132301,1,Scale,3,3,223,0.6439292761417857,0,0,,,
1,0.3843028518132301,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,15228.0,392.0,
2,0.3021096918611802,1,None,0,0,303,0.8,0,0,,,
2,0.3021096918611802,1,None,0,1,303,0.8,0,0,,,
2,0.3021096918611802,1,None,0,2,249,0.8,0,1,3458.70000000298,,
2,0.3021096918611802,1,None,0,3,144,0.8,0,1,3846.0,,
2,0.3021096918611802,1,None,0,4,303,0.8,0,0,,,
2,0.3021096918611802,1,None,0,5,303,0.8,0,0,,,
2,0.3021096918611802,1,None,1,0,10,0.8,0,1,1275.3000000044703,,
2,0.3021096918611802,1,None,1,1,303,0.8,0,0,,,
2,0.3021096918611802,1,None,1,2,303,0.8,0,0,,,
2,0.3021096918611802,1,None,1,3,303,-0.8,0,0,,,
2,0.3021096918611802,1,None,1,4,303,0.8,0,0,,,
2,0.3021096918611802,1,None,1,5,303,-0.8,0,0,,,
2,0.3021096918611802,1,None,2,0,303,0.8,0,0,,,
2,0.3021096918611802,1,None,2,1,303,0.8,0,0,,,
2,0.3021096918611802,1,None,2,2,303,-0.8,0,0,,,
2,0.3021096918611802,1,None,2,3,303,0.8,0,0,,,
2,0.3021096918611802,1,None,2,4,303,0.8,0,0,,,
2,0.3021096918611802,1,None,2,5,262,0.8,0,1,6123.4000000059605,,
2,0.3021096918611802,1,None,3,0,303,0.8,0,0,,,
2,0.3021096918611802,1,None,3,1,181,-0.8,0,1,10120.0,,
2,0.3021096918611802,1,None,3,2,140,0.8,0,1,2753.10000000149,,
2,0.3021096918611802,1,None,3,3,277,0.8,0,1,7792.70000000298,,
2,0.3021096918611802,1,None,3,4,303,0.8,0,0,,,
2,0.3021096918611802,1,None,3,5,383,0.8,0,1,,,
2,0.3021096918611802,1,None,4,0,303,0.8,0,0,,,
2,0.3021096918611802,1,None,4,1,303,0.8,0,0,,,
2,0.3021096918611802,1,None,4,2,303,0.8,0,0,,,
2,0.3021096918611802,1,None,4,3,294,0.8,0,1,7341.40000000596,,
2,0.3021096918611802,1,None,4,4,303,0.8,0,0,,,
2,0.3021096918611802,1,None,4,5,303,0.8,0,0,,,
2,0.3021096918611802,1,None,5,0,303,0.8,0,0,,,
2,0.3021096918611802,1,None,5,1,303,0.8,0,0,,,
2,0.3021096918611802,1,None,5,2,303,0.8,0,0,,,
2,0.3021096918611802,1,None,5,3,303,0.8,0,0,,,
2,0.3021096918611802,1,None,5,4,303,0.8,0,0,,,
2,0.3021096918611802,1,None,5,5,332,0.8,0,1,5246.10000000149,,
2,0.3021096918611802,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,28192.69999999553,399.0,
3,0.3395540531848954,1,Rotate,0,0,13,-0.8,-0.21304801331544154,1,5946.5,,
3,0.3395540531848954,1,Rotate,0,1,101,0.8,0.9218801346690024,0,,,
3,0.3395540531848954,1,Rotate,0,2,101,0.8,0.153458518551429,0,,,
3,0.3395540531848954,1,Rotate,0,3,101,0.8,-0.11965175628018065,0,,,
3,0.3395540531848954,1,Rotate,0,4,101,0.8,-1.0873585361926945,0,,,
3,0.3395540531848954,1,Rotate,0,5,150,-0.8,0.18202454836703863,1,,,
3,0.3395540531848954,1,Rotate,0,6,25,0.8,-1.0174854419294141,1,9696.60000000149,,
3,0.3395540531848954,1,Rotate,0,7,101,-0.8,-0.10086216832474171,0,,,
3,0.3395540531848954,1,Rotate,1,0,101,0.8,1.1566650734779773,0,,,
3,0.3395540531848954,1,Rotate,1,1,272,0.8,-0.3808575359944517,1,18823.30000000447,,
3,0.3395540531848954,1,Rotate,1,2,101,0.8,0.8862140085428898,0,,,
3,0.3395540531848954,1,Rotate,1,3,101,0.8,0.5364694940217234,0,,,
3,0.3395540531848954,1,Rotate,1,4,101,0.8,0.28499114041301876,0,,,
3,0.3395540531848954,1,Rotate,1,5,101,0.8,-0.8721098673070145,0,,,
3,0.3395540531848954,1,Rotate,1,6,101,0.8,-1.4414043956512117,0,,,
3,0.3395540531848954,1,Rotate,1,7,101,0.8,-0.0007953323448113281,0,,,
3,0.3395540531848954,1,Rotate,2,0,101,-0.8,-1.4809184045932442,0,,,
3,0.3395540531848954,1,Rotate,2,1,101,0.8,-0.4939422272722649,0,,,
3,0.3395540531848954,1,Rotate,2,2,101,0.8,1.174330735953327,0,,,
3,0.3395540531848954,1,Rotate,2,3,101,0.8,1.1548795394008873,0,,,
3,0.3395540531848954,1,Rotate,2,4,103,-0.8,-0.20163647157849152,1,8456.89999999851,,
3,0.3395540531848954,1,Rotate,2,5,101,0.8,-0.6068044950224706,0,,,
3,0.3395540531848954,1,Rotate,2,6,101,-0.8,0.10915148106096506,0,,,
3,0.3395540531848954,1,Rotate,2,7,213,0.8,-0.8603229619769103,1,10305.20000000298,,
3,0.3395540531848954,1,Rotate,3,0,101,0.8,0.3491585131414656,0,,,
3,0.3395540531848954,1,Rotate,3,1,101,0.8,1.4294460216773537,0,,,
3,0.3395540531848954,1,Rotate,3,2,137,0.8,-0.439090413998648,1,16897.30000000447,,
3,0.3395540531848954,1,Rotate,3,3,256,0.8,-1.1831294533715764,1,15898.39999999851,,
3,0.3395540531848954,1,Rotate,3,4,101,0.8,-0.3306731527253415,0,,,
3,0.3395540531848954,1,Rotate,3,5,101,0.8,0.44058843452703433,0,,,
3,0.3395540531848954,1,Rotate,3,6,337,0.8,0.7402840828135187,1,,,
3,0.3395540531848954,1,Rotate,3,7,175,0.8,-1.1196386215723804,1,10724.10000000149,,
3,0.3395540531848954,1,Rotate,4,0,101,0.8,-0.7428243186148737,0,,,
3,0.3395540531848954,1,Rotate,4,1,191,0.8,-1.53530679901952,1,5365.5,,
3,0.3395540531848954,1,Rotate,4,2,101,0.8,-0.9379191170780978,0,,,
3,0.3395540531848954,1,Rotate,4,3,101,0.8,0.7160819281930824,0,,,
3,0.3395540531848954,1,Rotate,4,4,321,0.8,-0.05291570260048983,1,14739.20000000298,,
3,0.3395540531848954,1,Rotate,4,5,34,0.8,0.8388456057488871,1,8997.20000000298,,
3,0.3395540531848954,1,Rotate,4,6,101,0.8,0.28738068538333983,0,,,
3,0.3395540531848954,1,Rotate,4,7,250,0.8,1.5137341670308255,1,11948.10000000149,,
3,0.3395540531848954,1,Rotate,5,0,349,0.8,-0.9555093964834864,1,7036.80000000447,,
3,0.3395540531848954,1,Rotate,5,1,289,0.8,0.8759057990404724,1,4622.5,,
