trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2,3,4,5,6,7
2,0.318326437125198,1,None,0,2,302,0.8,0,0,,,,,,,,
2,0.318326437125198,1,None,0,3,309,-0.8,0,1,4574.5,,,,,,,
2,0.318326437125198,1,None,0,4,67,0.8,0,1,4072.200000000004,,,,,,,
2,0.318326437125198,1,None,0,5,302,0.8,0,0,,,,,,,,
2,0.318326437125198,1,None,1,0,302,0.8,0,0,,,,,,,,
2,0.318326437125198,1,None,1,1,302,0.8,0,0,,,,,,,,
2,0.318326437125198,1,None,1,2,302,0.8,0,0,,,,,,,,
2,0.318326437125198,1,None,1,3,302,0.8,0,0,,,,,,,,
2,0.318326437125198,1,None,1,4,302,0.8,0,0,,,,,,,,
2,0.318326437125198,1,None,1,5,62,0.8,0,1,10014.600000000004,,,,,,,
2,0.318326437125198,1,None,2,0,302,0.8,0,0,,,,,,,,
2,0.318326437125198,1,None,2,1,302,-0.8,0,0,,,,,,,,
2,0.318326437125198,1,None,2,2,302,0.8,0,0,,,,,,,,
2,0.318326437125198,1,None,2,3,302,-0.8,0,0,13306.100000000004,19023.0,,,,,,
2,0.318326437125198,1,None,2,4,302,-0.8,0,0,11391.0,19415.0,,,,,,
2,0.318326437125198,1,None,2,5,302,0.8,0,0,,,,,,,,
2,0.318326437125198,1,None,3,0,302,0.8,0,0,,,,,,,,
2,0.318326437125198,1,None,3,1,249,0.8,0,1,3094.2000000000044,,,,,,,
2,0.318326437125198,1,None,3,2,302,0.8,0,0,,,,,,,,
2,0.318326437125198,1,None,3,3,302,0.8,0,0,,,,,,,,
2,0.318326437125198,1,None,3,4,302,0.8,0,0,,,,,,,,
2,0.318326437125198,1,None,3,5,302,0.8,0,0,,,,,,,,
2,0.318326437125198,1,None,4,0,335,0.8,0,1,2238.7000000000044,,,,,,,
2,0.318326437125198,1,None,4,1,302,0.8,0,0,,,,,,,,
2,0.318326437125198,1,None,4,2,302,0.8,0,0,16958.100000000006,18222.90000000001,,,,,,
2,0.318326437125198,1,None,4,3,185,0.8,0,1,,,,,,,,
2,0.318326437125198,1,None,4,4,175,0.8,0,1,5877.700000000004,,,,,,,
2,0.318326437125198,1,None,4,5,101,0.8,0,1,8105.9000000000015,,,,,,,
2,0.318326437125198,1,None,5,0,302,0.8,0,0,,,,,,,,
2,0.318326437125198,1,None,5,1,302,0.8,0,0,,,,,,,,
2,0.318326437125198,1,None,5,2,302,0.8,0,0,,,,,,,,
2,0.318326437125198,1,None,5,3,302,0.8,0,0,,,,,,,,
2,0.318326437125198,1,None,5,4,206,0.8,0,1,6489.4000000000015,,,,,,,
2,0.318326437125198,1,None,5,5,256,0.8,0,1,7191.4000000000015,,,,,,,
2,0.318326437125198,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,69986.7,258.0,,,,,,
3,0.3592207925785252,1,Rotate,0,0,57,0.8,0.5111096774591823,1,1053.1000000000058,,,,,,,
3,0.3592207925785252,1,Rotate,0,1,225,0.8,-0.5420141700042553,0,,,,,,,,
3,0.3592207925785252,1,Rotate,0,2,225,0.8,0.9218623244964585,0,,,,,,,,
3,0.3592207925785252,1,Rotate,0,3,225,0.8,-1.364780972218666,0,,,,,,,,
3,0.3592207925785252,1,Rotate,0,4,225,-0.8,1.314397636446401,0,,,,,,,,
3,0.3592207925785252,1,Rotate,0,5,225,0.8,1.4534408284180555,0,,,,,,,,
3,0.3592207925785252,1,Rotate,0,6,225,0.8,-0.9021631048063856,0,,,,,,,,
3,0.3592207925785252,1,Rotate,0,7,59,0.8,-1.2216074706116546,1,15831.5,,,,,,,
3,0.3592207925785252,1,Rotate,1,0,88,0.8,-0.12450026565088756,1,1486.300000000003,,,,,,,
3,0.3592207925785252,1,Rotate,1,1,190,0.8,-0.2247696001644579,1,,,,,,,,
3,0.3592207925785252,1,Rotate,1,2,225,0.8,1.0467520283111584,0,,,,,,,,
3,0.3592207925785252,1,Rotate,1,3,225,0.8,-0.7279031652429337,0,,,,,,,,
3,0.3592207925785252,1,Rotate,1,4,225,-0.8,0.8785638508260241,0,,,,,,,,
3,0.3592207925785252,1,Rotate,1,5,225,0.8,-0.7975404721584519,0,,,,,,,,
3,0.3592207925785252,1,Rotate,1,6,225,0.8,-0.07759653768653551,0,,,,,,,,
3,0.3592207925785252,1,Rotate,1,7,225,0.8,-1.5325826027268851,0,,,,,,,,
3,0.3592207925785252,1,Rotate,2,0,225,0.8,-0.9145939984647757,0,,,,,,,,
3,0.3592207925785252,1,Rotate,2,1,134,0.8,0.9619923789505766,1,3565.0,,,,,,,
3,0.3592207925785252,1,Rotate,2,2,46,0.8,1.005000266828516,1,3997.5,,,,,,,
3,0.3592207925785252,1,Rotate,2,3,23,0.8,-0.6386588606872382,1,7214.200000000012,,,,,,,
3,0.3592207925785252,1,Rotate,2,4,225,0.8,-0.16938724484286416,0,,,,,,,,
3,0.3592207925785252,1,Rotate,2,5,225,0.8,-0.09059189469675988,0,,,,,,,,
3,0.3592207925785252,1,Rotate,2,6,282,0.8,-1.0071318566237468,1,11517.0,,,,,,,
3,0.3592207925785252,1,Rotate,2,7,176,0.8,0.2976576918600131,1,14964.600000000004,,,,,,,
3,0.3592207925785252,1,Rotate,3,0,225,0.8,-1.397485381640004,0,,,,,,,,
3,0.3592207925785252,1,Rotate,3,1,225,0.8,-0.04939078946557118,0,,,,,,,,
3,0.3592207925785252,1,Rotate,3,2,225,0.8,-1.1674786490762805,0,,,,,,,,
3,0.3592207925785252,1,Rotate,3,3,225,0.8,-0.2720160897113624,0,,,,,,,,
3,0.3592207925785252,1,Rotate,3,4,333,0.8,-0.8367635272017763,1,8063.800000000003,,,,,,,
3,0.3592207925785252,1,Rotate,3,5,225,0.8,1.0586987322007615,0,,,,,,,,
3,0.3592207925785252,1,Rotate,3,6,91,0.8,0.35758855084062,1,11999.400000000009,,,,,,,
3,0.3592207925785252,1,Rotate,3,7,225,0.8,-1.182894897772252,0,,,,,,,,
3,0.3592207925785252,1,Rotate,4,0,225,0.8,0.5243514819910877,0,,,,,,,,
3,0.3592207925785252,1,Rotate,4,1,225,-0.8,0.1533368137235671,0,,,,,,,,
3,0.3592207925785252,1,Rotate,4,2,225,0.8,-1.398845275475124,0,,,,,,,,
3,0.3592207925785252,1,Rotate,4,3,199,0.8,0.712905786409237,1,6397.900000000009,,,,,,,
3,0.3592207925785252,1,Rotate,4,4,292,0.8,0.8951840755363682,1,8530.600000000006,,,,,,,
3,0.3592207925785252,1,Rotate,4,5,225,-0.8,-0.5204712251043648,0,,,,,,,,
3,0.3592207925785252,1,Rotate,4,6,225,0.8,-0.6411889341715309,0,,,,,,,,
3,0.3592207925785252,1,Rotate,4,7,84,0.8,0.6041134540936941,1,13581.300000000005,,,,,,,
3,0.3592207925785252,1,Rotate,5,0,225,0.8,-0.9308116081742961,0,,,,,,,,
3,0.3592207925785252,1,Rotate,5,1,225,0.8,-0.40431287221571343,0,,,,,,,,
3,0.3592207925785252,1,Rotate,5,2,61,0.8,-1.2349421164390452,1,4580.5,,,,,,,
3,0.3592207925785252,1,Rotate,5,3,225,0.8,-0.9092456159485622,0,,,,,,,,
3,0.3592207925785252,1,Rotate,5,4,85,-0.8,0.21181217233188465,1,8933.0,,,,,,,
3,0.3592207925785252,1,Rotate,5,5,225,0.8,1.0727781881603046,0,,,,,,,,
3,0.3592207925785252,1,Rotate,5,6,225,0.8,-0.9087247243625686,0,,,,,,,,
3,0.3592207925785252,1,Rotate,5,7,225,0.8,-1.0454204557909507,0,,,,,,,,
3,0.3592207925785252,1,Rotate,6,0,225,0.8,-0.27719553251119855,0,,,,,,,,
3,0.3592207925785252,1,Rotate,6,1,225,0.8,-1.2790403201609521,0,,,,,,,,
3,0.3592207925785252,1,Rotate,6,2,29,0.8,0.2810703312156817,1,4982.100000000006,,,,,,,
3,0.3592207925785252,1,Rotate,6,3,225,0.8,0.9008034197975818,0,,,,,,,,
3,0.3592207925785252,1,Rotate,6,4,377,0.8,-1.4453640353845744,1,9517.400000000009,,,,,,,
3,0.3592207925785252,1,Rotate,6,5,225,0.8,0.5265311325684072,0,,,,,,,,
3,0.3592207925785252,1,Rotate,6,6,225,0.8,-1.4278969863755073,0,,,,,,,,
3,0.3592207925785252,1,Rotate,6,7,120,0.8,-0.672027000732901,1,14148.100000000004,,,,,,,
3,0.3592207925785252,1,Rotate,7,0,191,0.8,0.7668618786435877,1,2781.0,,,,,,,
3,0.3592207925785252,1,Rotate,7,1,225,0.8,-1.4023856361742557,0,,,,,,,,
3,0.3592207925785252,1,Rotate,7,2,276,0.8,0.6204809832659817,1,5685.200000000012,,,,,,,
3,0.3592207925785252,1,Rotate,7,3,225,0.8,1.483795936527287,0,,,,,,,,
3,0.3592207925785252,1,Rotate,7,4,244,-0.8,-1.5241248642808134,1,9964.200000000012,,,,,,,
