trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2,3
1,0.3210181289579997,1,Scale,0,0,75,0.7854076380486142,0,1,1204.0,,,
1,0.3210181289579997,1,Scale,0,1,217,0.7679495666364419,0,1,1543.2999999970198,,,
1,0.3210181289579997,1,Scale,0,2,80,0.793792294600217,0,0,,,,
1,0.3210181289579997,1,Scale,0,3,80,0.6817591626194175,0,0,,,,
1,0.3210181289579997,1,Scale,1,0,278,0.6040185623943563,0,1,943.0,,,
1,0.3210181289579997,1,Scale,1,1,80,0.6000034760335585,0,0,,,,
1,0.3210181289579997,1,Scale,1,2,80,0.8201404641943607,0,0,,,,
1,0.3210181289579997,1,Scale,1,3,80,0.8324673478559184,0,0,,,,
1,0.3210181289579997,1,Scale,2,0,80,0.6637046063668228,0,0,,,,
1,0.3210181289579997,1,Scale,2,1,80,0.7294871058096674,0,0,,,,
1,0.3210181289579997,1,Scale,2,2,80,-0.8661379212659721,0,0,,,,
1,0.3210181289579997,1,Scale,2,3,80,0.8653650975392477,0,0,,,,
1,0.3210181289579997,1,Scale,3,0,80,0.7266511803878412,0,0,,,,
1,0.3210181289579997,1,Scale,3,1,80,0.6563519611731409,0,0,,,,
1,0.3210181289579997,1,Scale,3,2,314,0.6412576896403772,0,1,2723.89999999851,,,
1,0.3210181289579997,1,Scale,3,3,158,0.6233272551585881,0,1,3011.60000000149,,,
1,0.3210181289579997,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,8881.5,400.0,,
2,0.3262466439827071,1,Scale,0,0,213,0.7685758072929947,0,0,,,,
2,0.3262466439827071,1,Scale,0,1,213,-0.7781690019863698,0,0,,,,
2,0.3262466439827071,1,Scale,0,2,213,0.6725757541227857,0,0,,,,
2,0.3262466439827071,1,Scale,0,3,213,0.8949258633021302,0,0,,,,
2,0.3262466439827071,1,Scale,0,4,213,0.6988902648959646,0,0,,,,
2,0.3262466439827071,1,Scale,0,5,9,0.8649702504422299,0,1,9664.10000000149,,,
2,0.3262466439827071,1,Scale,1,0,359,0.7079593530471906,0,1,1232.2000000029802,,,
2,0.3262466439827071,1,Scale,1,1,257,0.7080120327437669,0,1,4214.89999999851,,,
2,0.3262466439827071,1,Scale,1,2,213,0.6145571142475406,0,0,,,,
2,0.3262466439827071,1,Scale,1,3,213,0.7273219178751898,0,0,,,,
2,0.3262466439827071,1,Scale,1,4,213,0.6566508717218126,0,0,,,,
2,0.3262466439827071,1,Scale,1,5,283,0.8686582369221797,0,1,9917.0,,,
2,0.3262466439827071,1,Scale,2,0,213,0.7787888939847285,0,0,,,,
2,0.3262466439827071,1,Scale,2,1,281,0.7594924898633191,0,1,4914.0,,,
2,0.3262466439827071,1,Scale,2,2,213,0.8953792742327491,0,0,,,,
2,0.3262466439827071,1,Scale,2,3,213,0.8135428078747541,0,0,,,,
2,0.3262466439827071,1,Scale,2,4,213,0.826643017743604,0,0,,,,
