trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2,3,4,5
1,0.3689549076074088,1,Scale,0,0,334,0.8757739808579574,0,0,,,,,,
1,0.3689549076074088,1,Scale,0,1,334,0.6641490487125995,0,0,,,,,,
1,0.3689549076074088,1,Scale,0,2,334,0.7416653839989416,0,0,,,,,,
1,0.3689549076074088,1,Scale,0,3,249,0.6358476533036287,0,1,3430.899999856949,,,,,
1,0.3689549076074088,1,Scale,1,0,334,0.8627951331294963,0,0,,,,,,
1,0.3689549076074088,1,Scale,1,1,334,0.6121875251462993,0,0,,,,,,
1,0.3689549076074088,1,Scale,1,2,334,0.7112678106253574,0,0,,,,,,
1,0.3689549076074088,1,Scale,1,3,154,-0.6860721019252558,0,1,2877.899999856949,,,,,
1,0.3689549076074088,1,Scale,2,0,334,0.8507213265999072,0,0,,,,,,
1,0.3689549076074088,1,Scale,2,1,334,0.7883889831535663,0,0,,,,,,
1,0.3689549076074088,1,Scale,2,2,334,0.7449507105490034,0,0,,,,,,
1,0.3689549076074088,1,Scale,2,3,342,-0.8544802848365759,0,1,2316.099999904633,,,,,
1,0.3689549076074088,1,Scale,3,0,334,0.6231607980305135,0,0,,,,,,
1,0.3689549076074088,1,Scale,3,1,334,0.6766277055253171,0,0,,,,,,
1,0.3689549076074088,1,Scale,3,2,301,0.7202029152546717,0,1,47.09999990463257,,,,,
1,0.3689549076074088,1,Scale,3,3,344,0.8198276168745657,0,1,2015.199999809265,,,,,
1,0.3689549076074088,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,10727.300000190737,370.0,,,,
2,0.3046154398893432,1,None,0,0,305,0.8,0,0,,,,,,
2,0.3046154398893432,1,None,0,1,305,0.8,0,0,,,,,,
2,0.3046154398893432,1,None,0,2,91,0.8,0,1,5623.899999856949,,,,,
2,0.3046154398893432,1,None,0,3,305,0.8,0,0,,,,,,
2,0.3046154398893432,1,None,0,4,305,-0.8,0,0,,,,,,
2,0.3046154398893432,1,None,0,5,305,0.8,0,0,,,,,,
2,0.3046154398893432,1,None,1,0,305,0.8,0,0,,,,,,
2,0.3046154398893432,1,None,1,1,305,0.8,0,0,,,,,,
2,0.3046154398893432,1,None,1,2,305,0.8,0,0,,,,,,
2,0.3046154398893432,1,None,1,3,305,0.8,0,0,,,,,,
2,0.3046154398893432,1,None,1,4,305,0.8,0,0,,,,,,
2,0.3046154398893432,1,None,1,5,305,0.8,0,0,,,,,,
2,0.3046154398893432,1,None,2,0,305,0.8,0,0,,,,,,
2,0.3046154398893432,1,None,2,1,337,0.8,0,1,3777.5,,,,,
2,0.3046154398893432,1,None,2,2,305,0.8,0,0,,,,,,
2,0.3046154398893432,1,None,2,3,305,0.8,0,0,,,,,,
2,0.3046154398893432,1,None,2,4,305,0.8,0,0,,,,,,
2,0.3046154398893432,1,None,2,5,305,0.8,0,0,,,,,,
2,0.3046154398893432,1,None,3,0,178,0.8,0,1,2471.399999856949,,,,,
2,0.3046154398893432,1,None,3,1,30,0.8,0,1,1588.3999998569489,2841.699999809265,,,,
2,0.3046154398893432,1,None,3,2,58,0.8,0,1,1202.5,,,,,
2,0.3046154398893432,1,None,3,3,31,0.8,0,1,945.5999999046326,,,,,
2,0.3046154398893432,1,None,3,4,305,0.8,0,0,,,,,,
2,0.3046154398893432,1,None,3,5,305,-0.8,0,0,,,,,,
2,0.3046154398893432,1,None,4,0,14,0.8,0,1,2030.199999809265,,,,,
2,0.3046154398893432,1,None,4,1,241,0.8,0,1,4358.299999952316,,,,,
2,0.3046154398893432,1,None,4,2,305,0.8,0,0,,,,,,
2,0.3046154398893432,1,None,4,3,149,0.8,0,1,7776.599999904633,,,,,
2,0.3046154398893432,1,None,4,4,305,0.8,0,0,,,,,,
2,0.3046154398893432,1,None,4,5,305,0.8,0,0,,,,,,
2,0.3046154398893432,1,None,5,0,305,0.8,0,0,,,,,,
2,0.3046154398893432,1,None,5,1,130,0.8,0,1,4695.399999856949,,,,,
2,0.3046154398893432,1,None,5,2,305,0.8,0,0,,,,,,
2,0.3046154398893432,1,None,5,3,305,-0.8,0,0,,,,,,
2,0.3046154398893432,1,None,5,4,305,0.8,0,0,,,,,,
2,0.3046154398893432,1,None,5,5,305,0.8,0,0,,,,,,
2,0.3046154398893432,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,24277.5,484.0,,,,
3,0.3539937096031768,1,Composite,0,0,155,0.7202993283779965,-1.1694757093068198,1,4119.900000095367,,,,,
3,0.3539937096031768,1,Composite,0,1,50,-0.840672965653998,0.8722647054195103,0,,,,,,
3,0.3539937096031768,1,Composite,0,2,50,-0.8680879838384463,-0.7936943185332331,0,,,,,,
3,0.3539937096031768,1,Composite,0,3,298,0.8331877772900127,-1.2062168737791437,1,3487.4000000953674,,,,,
3,0.3539937096031768,1,Composite,0,4,128,0.6571119481388948,-1.2560732176517588,1,3154.100000143051,,,,,
3,0.3539937096031768,1,Composite,0,5,50,0.8544036760751385,0.7417399269904301,0,,,,,,
3,0.3539937096031768,1,Composite,0,6,50,0.7575918658273415,-0.9307505319350949,0,,,,,,
3,0.3539937096031768,1,Composite,0,7,50,0.7333384439928252,-1.277260828073128,0,,,,,,
3,0.3539937096031768,1,Composite,1,0,50,0.6404501913270602,0.9924363680867261,0,,,,,,
3,0.3539937096031768,1,Composite,1,1,197,0.8047395691155781,-0.00821171124420883,1,4562.400000095367,,,,,
3,0.3539937096031768,1,Composite,1,2,50,0.7916951026135943,-0.5265028896493378,0,,,,,,
3,0.3539937096031768,1,Composite,1,3,50,0.8507549147100067,-1.121559222559702,0,,,,,,
3,0.3539937096031768,1,Composite,1,4,89,0.8141502696776334,1.2449212456563772,1,2837.200000047684,,,,,
3,0.3539937096031768,1,Composite,1,5,279,0.7095192237142512,0.2763371586424055,1,9496.100000143051,,,,,
3,0.3539937096031768,1,Composite,1,6,50,-0.6483811568782551,-0.08621028911457107,0,,,,,,
3,0.3539937096031768,1,Composite,1,7,50,0.6206710802010493,-1.3355866937853056,0,,,,,,
3,0.3539937096031768,1,Composite,2,0,216,0.602306692020732,0.3237703767525639,1,,,,,,
3,0.3539937096031768,1,Composite,2,1,50,0.880273004343264,1.265737130027678,0,,,,,,
3,0.3539937096031768,1,Composite,2,2,50,0.6826289696341807,0.5479210656254438,0,,,,,,
3,0.3539937096031768,1,Composite,2,3,50,0.7488915417607978,-0.31056158103953946,0,,,,,,
3,0.3539937096031768,1,Composite,2,4,50,0.7588321304534911,1.3732765542067904,0,,,,,,
3,0.3539937096031768,1,Composite,2,5,50,0.6296613998293996,-0.006165300389462169,0,,,,,,
3,0.3539937096031768,1,Composite,2,6,50,0.8186202122284449,0.8797330556178324,0,,,,,,
3,0.3539937096031768,1,Composite,2,7,50,0.6142482036489909,1.4990554762488615,0,,,,,,
3,0.3539937096031768,1,Composite,3,0,50,0.681923976689012,1.1090427195112667,0,,,,,,
3,0.3539937096031768,1,Composite,3,1,50,0.7730982631576649,-1.0406161767338087,0,,,,,,
3,0.3539937096031768,1,Composite,3,2,50,0.8005754980076265,1.2794385455226536,0,,,,,,
3,0.3539937096031768,1,Composite,3,3,115,0.8427278167596441,1.022140289257857,1,2304.800000190735,,,,,
3,0.3539937096031768,1,Composite,3,4,50,0.7318704574738667,0.6026456753677456,0,,,,,,
3,0.3539937096031768,1,Composite,3,5,50,0.7217079011542209,0.5776519347920899,0,,,,,,
3,0.3539937096031768,1,Composite,3,6,50,-0.6290591792803943,0.792305506371441,0,,,,,,
3,0.3539937096031768,1,Composite,3,7,50,0.7296884927324576,-0.08544834386940625,0,,,,,,
3,0.3539937096031768,1,Composite,4,0,50,0.7193088944212479,0.7630187150412286,0,,,,,,
