trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2,3
1,0.3763634344824727,1,Scale,0,0,97,0.6203387975128799,0,0,,,,
1,0.3763634344824727,1,Scale,0,1,139,0.701904518962854,0,1,5919.5,,,
1,0.3763634344824727,1,Scale,0,2,384,0.6515389341931846,0,1,3659.59999999404,,,
1,0.3763634344824727,1,Scale,0,3,343,0.732813104810921,0,1,3988.5,,,
1,0.3763634344824727,1,Scale,1,0,97,0.8401313553721504,0,0,,,,
1,0.3763634344824727,1,Scale,1,1,97,0.7308939062821735,0,0,,,,
1,0.3763634344824727,1,Scale,1,2,97,0.615518092003902,0,0,,,,
1,0.3763634344824727,1,Scale,1,3,97,0.8887903812739759,0,0,,,,
1,0.3763634344824727,1,Scale,2,0,353,0.877172980842001,0,1,2457.5999999940395,,,
1,0.3763634344824727,1,Scale,2,1,43,0.7484139771323353,0,1,2779.5999999940395,,,
1,0.3763634344824727,1,Scale,2,2,97,0.8481522285282447,0,0,,,,
1,0.3763634344824727,1,Scale,2,3,274,0.7235279332834388,0,1,3267.70000000298,,,
1,0.3763634344824727,1,Scale,3,0,97,0.7031177423360737,0,0,,,,
1,0.3763634344824727,1,Scale,3,1,97,0.8347318844812512,0,0,,,,
1,0.3763634344824727,1,Scale,3,2,97,0.7835876627579448,0,0,,,,
1,0.3763634344824727,1,Scale,3,3,97,-0.6539797233083333,0,0,5310.5,,,
1,0.3763634344824727,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,28544.0,318.0,,
2,0.3570702663407517,1,Composite,0,0,302,-0.6306625512805927,-0.31518196096439377,0,,,,
2,0.3570702663407517,1,Composite,0,1,263,0.7904487940836199,-0.6958209157209339,1,3755.29999999702,,,
2,0.3570702663407517,1,Composite,0,2,338,0.66871606100148,-0.8749767089954377,1,4052.09999999404,,,
2,0.3570702663407517,1,Composite,0,3,81,0.8843813863447069,-0.28335696305662195,1,7745.5,,,
2,0.3570702663407517,1,Composite,0,4,302,0.7490902437188092,-1.2097797140672213,0,,,,
2,0.3570702663407517,1,Composite,0,5,302,0.6062366054611584,-0.7352092699081311,0,,,,
2,0.3570702663407517,1,Composite,1,0,374,0.815179135180162,-1.145339112775432,1,2081.3999999910598,,,
2,0.3570702663407517,1,Composite,1,1,302,0.7340276328525762,1.3503123047503696,0,,,,
2,0.3570702663407517,1,Composite,1,2,0,0.8611926060683105,-0.2148680960596343,1,4325.20000000298,,,
2,0.3570702663407517,1,Composite,1,3,302,0.6682714280688273,-1.4708959903133054,0,6719.20000000298,7433.29999999702,,
2,0.3570702663407517,1,Composite,1,4,302,0.8879428769198687,-0.7090378592168661,0,,,,
2,0.3570702663407517,1,Composite,1,5,302,0.8986679339941394,1.4452646395715885,0,8747.20000000298,10437.20000000298,,
2,0.3570702663407517,1,Composite,2,0,302,0.758924073895636,0.33386065343447946,0,,,,
2,0.3570702663407517,1,Composite,2,1,302,0.7072483759346467,-0.8758450794359578,0,,,,
2,0.3570702663407517,1,Composite,2,2,302,-0.7117149047892467,-0.6160564264799928,0,,,,
2,0.3570702663407517,1,Composite,2,3,75,0.6017179929049709,0.16131396837607181,1,6335.29999999702,,,
2,0.3570702663407517,1,Composite,2,4,177,0.6987668651507312,-0.49423452104203425,1,9195.09999999404,,,
2,0.3570702663407517,1,Composite,2,5,302,-0.7631995853539524,-0.5010556439798339,0,,,,
2,0.3570702663407517,1,Composite,3,0,302,0.7926872669637918,-0.11721999624189627,0,,,,
2,0.3570702663407517,1,Composite,3,1,302,-0.615212340685051,0.7188867197500932,0,,,,
2,0.3570702663407517,1,Composite,3,2,175,0.638527527847907,1.0028725347248937,1,4781.5,,,
2,0.3570702663407517,1,Composite,3,3,243,0.6707145064925502,-0.9924515885199692,1,6071.399999991059,,,
2,0.3570702663407517,1,Composite,3,4,302,0.6432567852603422,0.35219343144821047,0,,,,
2,0.3570702663407517,1,Composite,3,5,302,0.6729280953371415,1.4375723147561348,0,,,,
2,0.3570702663407517,1,Composite,4,0,377,0.7922316645892553,0.9731206084750963,1,2714.29999999702,,,
2,0.3570702663407517,1,Composite,4,1,302,0.7837707414740352,0.1971072208058693,0,,,,
2,0.3570702663407517,1,Composite,4,2,302,0.8877576840910324,-0.9395810570943284,0,,,,
2,0.3570702663407517,1,Composite,4,3,302,0.7762398847066436,-1.0832958943709599,0,,,,
2,0.3570702663407517,1,Composite,4,4,302,0.7728661641387873,1.3338915260428212,0,,,,
