trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2
1,0.3381650086887224,1,Rotate,0,0,245,0.8,0.7779602356250552,0,,,
1,0.3381650086887224,1,Rotate,0,1,245,0.8,-0.4561213777504798,0,,,
1,0.3381650086887224,1,Rotate,0,2,185,0.8,-1.508551824194423,1,,,
1,0.3381650086887224,1,Rotate,0,3,245,0.8,-1.32385941740599,0,,,
1,0.3381650086887224,1,Rotate,1,0,238,0.8,-0.8783771288011412,1,3010.899999976158,,
1,0.3381650086887224,1,Rotate,1,1,245,0.8,-1.2259967336529956,0,,,
1,0.3381650086887224,1,Rotate,1,2,245,0.8,-0.9966458910094016,0,,,
1,0.3381650086887224,1,Rotate,1,3,245,0.8,0.3887831329597313,0,,,
1,0.3381650086887224,1,Rotate,2,0,245,0.8,0.2115585017726287,0,,,
1,0.3381650086887224,1,Rotate,2,1,245,0.8,-1.048026502187935,0,,,
1,0.3381650086887224,1,Rotate,2,2,245,0.8,-0.8245548079186844,0,,,
1,0.3381650086887224,1,Rotate,2,3,278,0.8,0.9874110927160737,1,4631.5,,
1,0.3381650086887224,1,Rotate,3,0,245,0.8,-1.3434554610837064,0,,,
1,0.3381650086887224,1,Rotate,3,1,245,0.8,0.4302808683814132,0,,,
1,0.3381650086887224,1,Rotate,3,2,155,0.8,0.2733977425601435,1,3647.899999976158,,
1,0.3381650086887224,1,Rotate,3,3,142,0.8,-0.7078699789371535,1,4224.800000011921,,
1,0.3381650086887224,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,27101.89999997616,268.0,
2,0.3289888666176979,1,None,0,0,83,0.8,0,0,,,
2,0.3289888666176979,1,None,0,1,83,0.8,0,0,,,
2,0.3289888666176979,1,None,0,2,153,0.8,0,1,7184.299999952316,,
2,0.3289888666176979,1,None,0,3,83,0.8,0,0,,,
2,0.3289888666176979,1,None,0,4,83,0.8,0,0,,,
2,0.3289888666176979,1,None,0,5,83,0.8,0,0,,,
2,0.3289888666176979,1,None,1,0,139,0.8,0,1,1654.899999976158,,
2,0.3289888666176979,1,None,1,1,83,-0.8,0,0,15182.799999952316,15794.599999964235,16344.0
2,0.3289888666176979,1,None,1,2,83,0.8,0,0,,,
2,0.3289888666176979,1,None,1,3,83,0.8,0,0,,,
2,0.3289888666176979,1,None,1,4,83,-0.8,0,0,7789.0,,
2,0.3289888666176979,1,None,1,5,83,0.8,0,0,,,
2,0.3289888666176979,1,None,2,0,323,0.8,0,1,2104.399999976158,,
2,0.3289888666176979,1,None,2,1,83,0.8,0,0,,,
2,0.3289888666176979,1,None,2,2,83,0.8,0,0,,,
2,0.3289888666176979,1,None,2,3,83,0.8,0,0,,,
2,0.3289888666176979,1,None,2,4,83,-0.8,0,0,9159.0,,
2,0.3289888666176979,1,None,2,5,83,0.8,0,0,,,
2,0.3289888666176979,1,None,3,0,83,0.8,0,0,,,
2,0.3289888666176979,1,None,3,1,83,-0.8,0,0,17894.69999998808,,
2,0.3289888666176979,1,None,3,2,224,0.8,0,1,3518.099999964237,,
2,0.3289888666176979,1,None,3,3,83,0.8,0,0,,,
2,0.3289888666176979,1,None,3,4,83,0.8,0,0,,,
2,0.3289888666176979,1,None,3,5,83,-0.8,0,0,20924.69999998808,,
