trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2,3
1,0.3424753587666155,1,Composite,0,0,72,0.8144233203388186,-0.3225014941955213,1,26047.800000000047,,,
1,0.3424753587666155,1,Composite,0,1,364,0.6934642305159211,-1.5660707158407088,0,,,,
1,0.3424753587666155,1,Composite,0,2,364,0.6284202915677791,-1.1870759718833948,0,,,,
1,0.3424753587666155,1,Composite,0,3,243,0.853867992796876,0.31979977811085325,1,29372.899999999907,,,
1,0.3424753587666155,1,Composite,1,0,364,0.7311918100560746,0.8234297928823042,0,,,,
1,0.3424753587666155,1,Composite,1,1,333,0.7469562322522678,-0.11749287359171978,1,28663.699999999957,,,
1,0.3424753587666155,1,Composite,1,2,364,0.8364439260648893,-0.460403368436316,0,,,,
1,0.3424753587666155,1,Composite,1,3,364,0.7957030360737681,-0.9995604321013307,0,,,,
1,0.3424753587666155,1,Composite,2,0,364,0.895810784304689,-1.2929284982945084,0,,,,
1,0.3424753587666155,1,Composite,2,1,364,0.7507145291194905,0.7875914917118516,0,,,,
1,0.3424753587666155,1,Composite,2,2,237,-0.6284506170652705,0.24148348551284604,1,18848.09999999986,21532.0,21972.899999999907,
1,0.3424753587666155,1,Composite,2,3,364,0.726739694990858,-1.1971172578386062,0,,,,
1,0.3424753587666155,1,Composite,3,0,364,0.8062834323766304,-1.2031082885091962,0,,,,
1,0.3424753587666155,1,Composite,3,1,364,-0.8380630355775486,0.5439012178378135,0,,,,
1,0.3424753587666155,1,Composite,3,2,302,0.799570838774667,0.9915488375880188,1,25181.0,,,
1,0.3424753587666155,1,Composite,3,3,364,0.7536122336050708,0.22488512446959108,0,,,,
1,0.3424753587666155,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,38360.5,67.0,,
2,0.3447894513900286,1,Rotate,0,0,31,0.8,0.6865246482370715,1,2183.0,,,
2,0.3447894513900286,1,Rotate,0,1,149,0.8,0.7844538668421954,0,,,,
2,0.3447894513900286,1,Rotate,0,2,149,0.8,0.8594568752536387,0,,,,
2,0.3447894513900286,1,Rotate,0,3,275,0.8,0.2579195758674413,1,11021.899999999909,,,
2,0.3447894513900286,1,Rotate,0,4,149,0.8,-0.004723104584013038,0,,,,
2,0.3447894513900286,1,Rotate,0,5,149,-0.8,-0.7647197248080964,0,,,,
2,0.3447894513900286,1,Rotate,1,0,149,-0.8,0.3216333358547345,0,,,,
2,0.3447894513900286,1,Rotate,1,1,149,0.8,-0.9822879681220735,0,,,,
2,0.3447894513900286,1,Rotate,1,2,149,0.8,-0.393034787725121,0,,,,
2,0.3447894513900286,1,Rotate,1,3,206,0.8,1.4494881502369266,1,10589.899999999909,,,
2,0.3447894513900286,1,Rotate,1,4,149,0.8,0.4198719857788733,0,,,,
2,0.3447894513900286,1,Rotate,1,5,149,0.8,1.0313734076158743,0,,,,
2,0.3447894513900286,1,Rotate,2,0,149,0.8,-1.057829852739587,0,,,,
2,0.3447894513900286,1,Rotate,2,1,149,0.8,-0.05874597196661657,0,,,,
2,0.3447894513900286,1,Rotate,2,2,303,0.8,-1.4443814940515238,1,6742.0,,,
2,0.3447894513900286,1,Rotate,2,3,24,0.8,0.7696159736062662,1,10254.09999999986,,,
2,0.3447894513900286,1,Rotate,2,4,235,0.8,1.3044017643628547,1,12326.0,,,
2,0.3447894513900286,1,Rotate,2,5,258,0.8,-0.8018118750217565,1,14702.699999999952,,,
2,0.3447894513900286,1,Rotate,3,0,149,0.8,0.01510838230516831,0,,,,
2,0.3447894513900286,1,Rotate,3,1,83,0.8,0.6593790132365438,1,4238.0,,,
2,0.3447894513900286,1,Rotate,3,2,149,0.8,1.4159204208235145,0,,,,
2,0.3447894513900286,1,Rotate,3,3,233,-0.8,-1.2730125704051563,1,9846.59999999986,,,
2,0.3447894513900286,1,Rotate,3,4,149,0.8,0.4410267239659422,0,,,,
2,0.3447894513900286,1,Rotate,3,5,149,0.8,-0.006169958774386419,0,,,,
2,0.3447894513900286,1,Rotate,4,0,149,0.8,-0.3418533513527513,0,,,,
2,0.3447894513900286,1,Rotate,4,1,149,0.8,1.52720548759611,0,,,,
2,0.3447894513900286,1,Rotate,4,2,149,0.8,1.3692634847690388,0,,,,
2,0.3447894513900286,1,Rotate,4,3,171,0.8,-0.7284900392958293,1,9399.0,,,
2,0.3447894513900286,1,Rotate,4,4,298,0.8,-0.05594697281822558,1,13102.5,,,
2,0.3447894513900286,1,Rotate,4,5,149,-0.8,-1.524202303694187,0,,,,
2,0.3447894513900286,1,Rotate,5,0,149,-0.8,0.3338310116468628,0,,,,
2,0.3447894513900286,1,Rotate,5,1,149,0.8,0.8831324410635308,0,,,,
2,0.3447894513900286,1,Rotate,5,2,149,0.8,-0.8120193079912066,0,,,,
2,0.3447894513900286,1,Rotate,5,3,149,0.8,0.9793234048809385,0,,,,
2,0.3447894513900286,1,Rotate,5,4,160,0.8,-1.4160234556963354,1,13389.800000000048,,,
2,0.3447894513900286,1,Rotate,5,5,149,0.8,-1.250994217375071,0,,,,
2,0.3447894513900286,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,78485.79999999981,162.0,,
3,0.3265740528082335,1,Rotate,0,0,383,0.8,-0.705074114914716,0,,,,
3,0.3265740528082335,1,Rotate,0,1,159,0.8,-1.16139873393842,1,3623.800000000047,,,
3,0.3265740528082335,1,Rotate,0,2,287,-0.8,0.3958840487752078,1,6087.699999999953,,,
3,0.3265740528082335,1,Rotate,0,3,383,-0.8,-0.5779381910557587,0,,,,
3,0.3265740528082335,1,Rotate,0,4,383,0.8,0.06266507550679123,0,,,,
3,0.3265740528082335,1,Rotate,0,5,383,0.8,0.8192665180632726,0,,,,
3,0.3265740528082335,1,Rotate,0,6,80,0.8,-0.7082230904051787,1,15391.699999999952,,,
3,0.3265740528082335,1,Rotate,0,7,383,0.8,0.49831585557207525,0,,,,
3,0.3265740528082335,1,Rotate,1,0,383,0.8,0.9532922370315497,0,,,,
3,0.3265740528082335,1,Rotate,1,1,383,0.8,0.5046847325426396,0,,,,
3,0.3265740528082335,1,Rotate,1,2,383,0.8,0.005030086577801018,0,,,,
3,0.3265740528082335,1,Rotate,1,3,383,0.8,-1.5319173921914686,0,,,,
3,0.3265740528082335,1,Rotate,1,4,249,-0.8,1.13091074040137,1,11288.0,,,
3,0.3265740528082335,1,Rotate,1,5,383,0.8,0.9058932149149426,0,,,,
3,0.3265740528082335,1,Rotate,1,6,383,0.8,-0.896936973981457,0,,,,
3,0.3265740528082335,1,Rotate,1,7,383,0.8,-1.3732363337531168,0,,,,
3,0.3265740528082335,1,Rotate,2,0,56,0.8,-0.7502514200330731,1,1687.5999999998603,,,
3,0.3265740528082335,1,Rotate,2,1,83,-0.8,0.5757759053624487,1,4215.300000000047,,,
3,0.3265740528082335,1,Rotate,2,2,383,0.8,-1.0308510916749967,0,,,,
3,0.3265740528082335,1,Rotate,2,3,289,0.8,-0.16876853884517984,1,8681.199999999953,,,
3,0.3265740528082335,1,Rotate,2,4,383,0.8,-0.9681371435666806,0,,,,
3,0.3265740528082335,1,Rotate,2,5,383,0.8,1.0809703808835764,0,,,,
3,0.3265740528082335,1,Rotate,2,6,226,0.8,1.3658791373389731,1,16055.5,,,
3,0.3265740528082335,1,Rotate,2,7,383,0.8,-0.4663165833812475,0,,,,
3,0.3265740528082335,1,Rotate,3,0,383,-0.8,0.06909398563856572,0,,,,
3,0.3265740528082335,1,Rotate,3,1,204,0.8,0.9623854839678394,1,4516.59999999986,,,
3,0.3265740528082335,1,Rotate,3,2,383,0.8,-0.34558309603229254,0,,,,
