trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2,3,4
1,0.3766545183288632,1,Scale,0,0,129,0.6760756630937802,0,0,,,,,
1,0.3766545183288632,1,Scale,0,1,336,0.8440131703941273,0,1,4244.299999999814,,,,
1,0.3766545183288632,1,Scale,0,2,131,0.6612503996912661,0,1,4725.799999999814,,,,
1,0.3766545183288632,1,Scale,0,3,129,0.8252074206160925,0,0,,,,,
1,0.3766545183288632,1,Scale,1,0,129,0.8277409894878162,0,0,,,,,
1,0.3766545183288632,1,Scale,1,1,55,0.724080238825036,0,1,3884.0,,,,
1,0.3766545183288632,1,Scale,1,2,129,0.6844093292137856,0,0,,,,,
1,0.3766545183288632,1,Scale,1,3,129,0.8232774336524137,0,0,,,,,
1,0.3766545183288632,1,Scale,2,0,129,0.669304685688405,0,0,,,,,
1,0.3766545183288632,1,Scale,2,1,321,0.8328262868345918,0,1,3468.7999999998137,,,,
1,0.3766545183288632,1,Scale,2,2,301,0.8149066368546638,0,1,5276.700000000186,,,,
1,0.3766545183288632,1,Scale,2,3,129,0.849599508351117,0,0,,,,,
1,0.3766545183288632,1,Scale,3,0,129,-0.8816495495250832,0,0,2963.399999999907,,,,
1,0.3766545183288632,1,Scale,3,1,129,0.8606190208211348,0,0,,,,,
1,0.3766545183288632,1,Scale,3,2,92,0.7495753601693284,0,1,6395.399999999907,,,,
1,0.3766545183288632,1,Scale,3,3,129,0.8924368743672546,0,0,,,,,
1,0.3766545183288632,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,16736.30000000028,291.0,,,
2,0.3458040905575655,1,None,0,0,232,0.8,0,0,,,,,
2,0.3458040905575655,1,None,0,1,232,0.8,0,0,,,,,
2,0.3458040905575655,1,None,0,2,232,-0.8,0,0,,,,,
2,0.3458040905575655,1,None,0,3,232,0.8,0,0,,,,,
2,0.3458040905575655,1,None,0,4,232,0.8,0,0,,,,,
