trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2,3
1,0.3130265850277216,1,None,0,0,356,0.8,0,0,,,,
1,0.3130265850277216,1,None,0,1,356,0.8,0,0,,,,
1,0.3130265850277216,1,None,0,2,207,-0.8,0,1,24246.799999999814,,,
1,0.3130265850277216,1,None,0,3,122,0.8,0,1,24806.799999999814,,,
1,0.3130265850277216,1,None,1,0,356,0.8,0,0,,,,
1,0.3130265850277216,1,None,1,1,356,0.8,0,0,,,,
1,0.3130265850277216,1,None,1,2,356,0.8,0,0,,,,
1,0.3130265850277216,1,None,1,3,356,0.8,0,0,,,,
1,0.3130265850277216,1,None,2,0,356,0.8,0,0,,,,
1,0.3130265850277216,1,None,2,1,356,0.8,0,0,,,,
1,0.3130265850277216,1,None,2,2,252,0.8,0,1,23630.799999999814,,,
1,0.3130265850277216,1,None,2,3,356,0.8,0,0,,,,
1,0.3130265850277216,1,None,3,0,356,-0.8,0,0,21998.899999999907,,,
1,0.3130265850277216,1,None,3,1,356,0.8,0,0,,,,
1,0.3130265850277216,1,None,3,2,300,0.8,0,1,23046.600000000093,,,
1,0.3130265850277216,1,None,3,3,81,0.8,0,1,25350.799999999814,,,
1,0.3130265850277216,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,38014.39999999991,64.0,,
2,0.3411913972342058,1,None,0,0,139,0.8,0,0,,,,
2,0.3411913972342058,1,None,0,1,116,0.8,0,1,12255.600000000091,,,
2,0.3411913972342058,1,None,0,2,139,-0.8,0,0,,,,
2,0.3411913972342058,1,None,0,3,139,-0.8,0,0,,,,
2,0.3411913972342058,1,None,0,4,139,0.8,0,0,,,,
2,0.3411913972342058,1,None,0,5,139,0.8,0,0,,,,
2,0.3411913972342058,1,None,1,0,139,0.8,0,0,,,,
2,0.3411913972342058,1,None,1,1,139,0.8,0,0,,,,
2,0.3411913972342058,1,None,1,2,139,0.8,0,0,,,,
2,0.3411913972342058,1,None,1,3,139,0.8,0,0,,,,
2,0.3411913972342058,1,None,1,4,28,0.8,0,1,5943.700000000186,,,
2,0.3411913972342058,1,None,1,5,148,-0.8,0,1,6610.700000000186,,,
2,0.3411913972342058,1,None,2,0,282,-0.8,0,1,1191.7000000001865,,,
2,0.3411913972342058,1,None,2,1,139,0.8,0,0,,,,
2,0.3411913972342058,1,None,2,2,139,0.8,0,0,,,,
2,0.3411913972342058,1,None,2,3,139,0.8,0,0,,,,
2,0.3411913972342058,1,None,2,4,294,-0.8,0,1,5400.0,,,
2,0.3411913972342058,1,None,2,5,139,0.8,0,0,,,,
2,0.3411913972342058,1,None,3,0,139,0.8,0,0,,,,
2,0.3411913972342058,1,None,3,1,139,0.8,0,0,,,,
2,0.3411913972342058,1,None,3,2,246,0.8,0,1,3391.899999999907,,,
2,0.3411913972342058,1,None,3,3,383,0.8,0,1,4859.0,,,
2,0.3411913972342058,1,None,3,4,139,0.8,0,0,,,,
2,0.3411913972342058,1,None,3,5,209,0.8,0,1,7823.700000000186,,,
2,0.3411913972342058,1,None,4,0,139,0.8,0,0,,,,
2,0.3411913972342058,1,None,4,1,139,0.8,0,0,,,,
2,0.3411913972342058,1,None,4,2,139,0.8,0,0,,,,
2,0.3411913972342058,1,None,4,3,139,0.8,0,0,,,,
2,0.3411913972342058,1,None,4,4,139,0.8,0,0,,,,
2,0.3411913972342058,1,None,4,5,139,0.8,0,0,,,,
2,0.3411913972342058,1,None,5,0,276,0.8,0,1,2079.7000000001863,,,
2,0.3411913972342058,1,None,5,1,163,0.8,0,1,2799.7000000001863,,,
2,0.3411913972342058,1,None,5,2,238,0.8,0,1,4271.700000000186,,,
2,0.3411913972342058,1,None,5,3,139,0.8,0,0,,,,
2,0.3411913972342058,1,None,5,4,139,0.8,0,0,,,,
2,0.3411913972342058,1,None,5,5,85,0.8,0,1,8671.799999999814,,,
2,0.3411913972342058,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,55781.200000000186,445.0,,
3,0.318612475074547,1,None,0,0,84,0.8,0,0,,,,
3,0.318612475074547,1,None,0,1,350,0.8,0,1,6754.299999999814,,,
3,0.318612475074547,1,None,0,2,84,0.8,0,0,,,,
3,0.318612475074547,1,None,0,3,84,-0.8,0,0,,,,
3,0.318612475074547,1,None,0,4,84,0.8,0,0,,,,
3,0.318612475074547,1,None,0,5,84,0.8,0,0,,,,
3,0.318612475074547,1,None,0,6,84,0.8,0,0,,,,
3,0.318612475074547,1,None,0,7,44,0.8,0,1,13272.399999999909,,,
3,0.318612475074547,1,None,1,0,69,0.8,0,1,2488.2999999998137,,,
3,0.318612475074547,1,None,1,1,84,-0.8,0,0,,,,
3,0.318612475074547,1,None,1,2,84,0.8,0,0,,,,
3,0.318612475074547,1,None,1,3,84,0.8,0,0,,,,
3,0.318612475074547,1,None,1,4,84,0.8,0,0,,,,
3,0.318612475074547,1,None,1,5,84,0.8,0,0,,,,
3,0.318612475074547,1,None,1,6,84,0.8,0,0,,,,
3,0.318612475074547,1,None,1,7,203,0.8,0,1,13640.0,,,
3,0.318612475074547,1,None,2,0,84,0.8,0,0,,,,
3,0.318612475074547,1,None,2,1,84,0.8,0,0,,,,
3,0.318612475074547,1,None,2,2,84,0.8,0,0,,,,
3,0.318612475074547,1,None,2,3,84,0.8,0,0,,,,
3,0.318612475074547,1,None,2,4,84,0.8,0,0,,,,
3,0.318612475074547,1,None,2,5,84,0.8,0,0,,,,
3,0.318612475074547,1,None,2,6,84,0.8,0,0,,,,
3,0.318612475074547,1,None,2,7,84,0.8,0,0,,,,
3,0.318612475074547,1,None,3,0,84,0.8,0,0,,,,
3,0.318612475074547,1,None,3,1,84,-0.8,0,0,,,,
3,0.318612475074547,1,None,3,2,276,0.8,0,1,8168.399999999907,,,
3,0.318612475074547,1,None,3,3,84,0.8,0,0,,,,
3,0.318612475074547,1,None,3,4,84,0.8,0,0,,,,
3,0.318612475074547,1,None,3,5,84,0.8,0,0,,,,
