trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2,3
1,0.3480701442775323,1,Rotate,0,0,322,-0.8,1.4982882634004473,1,4527.10000000002,,,
1,0.3480701442775323,1,Rotate,0,1,305,0.8,1.085358037839232,0,,,,
1,0.3480701442775323,1,Rotate,0,2,305,0.8,-0.9258246597881862,0,,,,
1,0.3480701442775323,1,Rotate,0,3,344,0.8,-1.1425806903997713,1,8838.999999999942,,,
1,0.3480701442775323,1,Rotate,1,0,305,0.8,-0.21793444926283478,0,,,,
1,0.3480701442775323,1,Rotate,1,1,305,0.8,-0.2519200446450307,0,,,,
1,0.3480701442775323,1,Rotate,1,2,305,0.8,0.832969894222384,0,,,,
1,0.3480701442775323,1,Rotate,1,3,180,0.8,0.49100656684068955,1,8438.90000000011,,,
1,0.3480701442775323,1,Rotate,2,0,305,-0.8,-0.9947413612544473,0,,,,
1,0.3480701442775323,1,Rotate,2,1,292,0.8,0.7553836474194919,1,6152.10000000002,,,
1,0.3480701442775323,1,Rotate,2,2,305,0.8,1.5262757107629894,0,,,,
1,0.3480701442775323,1,Rotate,2,3,305,0.8,-1.278205156222906,0,,,,
1,0.3480701442775323,1,Rotate,3,0,305,0.8,-0.17576981438857375,0,,,,
1,0.3480701442775323,1,Rotate,3,1,352,0.8,-0.5531600862196777,1,6703.199999999924,,,
1,0.3480701442775323,1,Rotate,3,2,305,0.8,-0.17441912998692932,0,,,,
1,0.3480701442775323,1,Rotate,3,3,305,0.8,-1.2075299591529238,0,,,,
1,0.3480701442775323,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,58920.699999999895,144.0,,
2,0.3825757161783606,1,None,0,0,94,0.8,0,0,,,,
2,0.3825757161783606,1,None,0,1,94,0.8,0,0,,,,
2,0.3825757161783606,1,None,0,2,94,0.8,0,0,,,,
2,0.3825757161783606,1,None,0,3,292,0.8,0,1,4223.899999999951,,,
2,0.3825757161783606,1,None,0,4,94,0.8,0,0,,,,
2,0.3825757161783606,1,None,0,5,94,0.8,0,0,,,,
2,0.3825757161783606,1,None,1,0,196,0.8,0,1,1728.099999999802,,,
2,0.3825757161783606,1,None,1,1,94,0.8,0,0,,,,
2,0.3825757161783606,1,None,1,2,134,0.8,0,1,3791.899999999936,,,
2,0.3825757161783606,1,None,1,3,94,0.8,0,0,,,,
2,0.3825757161783606,1,None,1,4,94,-0.8,0,0,9464.399999999834,,,
