trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2,3
1,0.3566137892218818,1,Composite,0,0,167,0.7018482146631438,0.8289064018585055,1,1843.2999999999884,,,
1,0.3566137892218818,1,Composite,0,1,195,0.8349961895830162,-0.26532131470370457,0,,,,
1,0.3566137892218818,1,Composite,0,2,195,0.7760779525177798,-1.436507837499254,0,,,,
1,0.3566137892218818,1,Composite,0,3,195,0.859197770844867,-0.22689614178635864,0,,,,
1,0.3566137892218818,1,Composite,1,0,195,0.721686345772386,-0.9276543152876621,0,,,,
1,0.3566137892218818,1,Composite,1,1,195,0.8970065171363139,-1.0315069261858638,0,,,,
1,0.3566137892218818,1,Composite,1,2,195,0.7461791792604555,-0.272459327690723,0,,,,
1,0.3566137892218818,1,Composite,1,3,195,0.7927393313576601,-1.2039043564328045,0,,,,
1,0.3566137892218818,1,Composite,2,0,25,0.8607221561029454,-0.4298044788208286,1,2290.2999999999884,,,
1,0.3566137892218818,1,Composite,2,1,297,0.6632527340276574,-0.9258894391932871,1,2520.399999999994,,,
1,0.3566137892218818,1,Composite,2,2,195,0.8717049517501556,-1.0669252129940312,0,,,,
1,0.3566137892218818,1,Composite,2,3,195,0.716273787578311,1.4502692014683554,0,,,,
1,0.3566137892218818,1,Composite,3,0,281,0.7182124100581805,-1.5569643170502614,1,2941.6999999999825,,,
1,0.3566137892218818,1,Composite,3,1,55,0.8217215500520378,0.5829550394206131,1,2704.5,,,
1,0.3566137892218818,1,Composite,3,2,195,0.8727701777868252,1.1288127278389588,0,,,,
1,0.3566137892218818,1,Composite,3,3,195,0.7441952776701591,0.8861285325154786,0,,,,
1,0.3566137892218818,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,12676.100000000006,320.0,,
2,0.3749814222885752,1,Scale,0,0,59,0.7334059231510234,0,1,2375.0,,,
2,0.3749814222885752,1,Scale,0,1,311,0.7044927172961754,0,1,1974.1000000000056,,,
2,0.3749814222885752,1,Scale,0,2,44,0.7583867365984853,0,1,1439.2000000000116,,,
2,0.3749814222885752,1,Scale,0,3,208,0.616268775455017,0,0,,,,
2,0.3749814222885752,1,Scale,0,4,46,0.6611911323398172,0,1,5169.5,,,
2,0.3749814222885752,1,Scale,0,5,208,0.8531496507167217,0,0,,,,
2,0.3749814222885752,1,Scale,1,0,208,0.7647759673105072,0,0,,,,
2,0.3749814222885752,1,Scale,1,1,208,0.8741253823376722,0,0,,,,
2,0.3749814222885752,1,Scale,1,2,208,0.66299098539823,0,0,,,,
2,0.3749814222885752,1,Scale,1,3,32,0.6182122558492951,0,1,971.2000000000116,,,
2,0.3749814222885752,1,Scale,1,4,208,0.8238128179728391,0,0,,,,
2,0.3749814222885752,1,Scale,1,5,208,0.8848408373137455,0,0,,,,
2,0.3749814222885752,1,Scale,2,0,208,0.7449456313683243,0,0,,,,
2,0.3749814222885752,1,Scale,2,1,208,0.802479560036608,0,0,,,,
2,0.3749814222885752,1,Scale,2,2,203,0.746266068863187,0,1,5809.600000000006,,,
2,0.3749814222885752,1,Scale,2,3,212,0.6644505970327866,0,1,4641.200000000012,,,
2,0.3749814222885752,1,Scale,2,4,208,0.7944860713618194,0,0,,,,
2,0.3749814222885752,1,Scale,2,5,208,0.6436609028171558,0,0,,,,
2,0.3749814222885752,1,Scale,3,0,208,0.7203630030456364,0,0,,,,
2,0.3749814222885752,1,Scale,3,1,208,0.6042673438456388,0,0,,,,
2,0.3749814222885752,1,Scale,3,2,208,0.8868783794333339,0,0,,,,
2,0.3749814222885752,1,Scale,3,3,208,0.7045833841643222,0,0,,,,
2,0.3749814222885752,1,Scale,3,4,286,0.8845112150891571,0,1,,,,
2,0.3749814222885752,1,Scale,3,5,208,0.8729502024935336,0,0,,,,
2,0.3749814222885752,1,Scale,4,0,208,0.8238771433955452,0,0,,,,
2,0.3749814222885752,1,Scale,4,1,208,0.8337899594869782,0,0,,,,
2,0.3749814222885752,1,Scale,4,2,208,0.775296045278192,0,0,,,,
2,0.3749814222885752,1,Scale,4,3,173,0.8720229849058521,0,1,4165.5,,,
2,0.3749814222885752,1,Scale,4,4,208,0.7725177668395546,0,0,,,,
2,0.3749814222885752,1,Scale,4,5,208,-0.7841986010143294,0,0,,,,
2,0.3749814222885752,1,Scale,5,0,358,0.6545431361927182,0,1,,,,
2,0.3749814222885752,1,Scale,5,1,208,0.721998792552027,0,0,,,,
2,0.3749814222885752,1,Scale,5,2,346,0.7698297840345796,0,1,,,,
2,0.3749814222885752,1,Scale,5,3,208,0.7770485080615442,0,0,,,,
2,0.3749814222885752,1,Scale,5,4,371,0.7033309301541727,0,1,3187.700000000012,,,
