trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2
1,0.3584661658897458,1,Rotate,0,0,37,0.8,0.6422452447214995,1,1623.4000000001397,,
1,0.3584661658897458,1,Rotate,0,1,281,-0.8,0.3383554588460327,0,3680.5,5489.100000000093,
1,0.3584661658897458,1,Rotate,0,2,281,0.8,-0.1817898873838919,0,,,
1,0.3584661658897458,1,Rotate,0,3,281,0.8,-0.9161114966636943,0,,,
1,0.3584661658897458,1,Rotate,1,0,281,0.8,-0.8415670389234936,0,,,
1,0.3584661658897458,1,Rotate,1,1,281,0.8,0.8461989230517335,0,,,
1,0.3584661658897458,1,Rotate,1,2,281,0.8,0.7616460691660154,0,,,
1,0.3584661658897458,1,Rotate,1,3,281,0.8,-0.8703868513446498,0,,,
1,0.3584661658897458,1,Rotate,2,0,281,-0.8,0.9461696593153857,0,,,
1,0.3584661658897458,1,Rotate,2,1,281,0.8,0.4676295974649851,0,,,
1,0.3584661658897458,1,Rotate,2,2,281,-0.8,-0.2125813673775907,0,,,
1,0.3584661658897458,1,Rotate,2,3,281,0.8,-1.0945662096652218,0,,,
1,0.3584661658897458,1,Rotate,3,0,278,0.8,-1.094897230564953,1,9913.300000000048,,
1,0.3584661658897458,1,Rotate,3,1,183,0.8,1.341908716546453,1,8983.199999999953,,
1,0.3584661658897458,1,Rotate,3,2,136,0.8,-1.0735396128393877,1,8225.40000000014,,
1,0.3584661658897458,1,Rotate,3,3,194,0.8,-0.1549604854184885,1,7022.800000000047,,
1,0.3584661658897458,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,90005.80000000005,223.0,
2,0.3546763782138815,1,Scale,0,0,135,0.68402350307037,0,0,,,
2,0.3546763782138815,1,Scale,0,1,135,0.7280462385224998,0,0,,,
2,0.3546763782138815,1,Scale,0,2,113,-0.8480094970196308,0,1,,,
2,0.3546763782138815,1,Scale,0,3,135,0.6502048200765967,0,0,,,
2,0.3546763782138815,1,Scale,0,4,161,0.6975688399133438,0,1,,,
2,0.3546763782138815,1,Scale,0,5,12,0.7624445236939746,0,1,,,
2,0.3546763782138815,1,Scale,1,0,172,0.8785870734475503,0,1,1799.3000000000466,,
2,0.3546763782138815,1,Scale,1,1,135,0.8302500580374421,0,0,,,
2,0.3546763782138815,1,Scale,1,2,205,0.7105245401367564,0,1,,,
