trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2,3,4,5
1,0.344498824243454,1,None,0,0,64,0.8,0,0,,,,,,
1,0.344498824243454,1,None,0,1,64,0.8,0,0,,,,,,
1,0.344498824243454,1,None,0,2,64,0.8,0,0,,,,,,
1,0.344498824243454,1,None,0,3,170,0.8,0,1,3264.3000000715256,,,,,
1,0.344498824243454,1,None,1,0,64,0.8,0,0,,,,,,
1,0.344498824243454,1,None,1,1,64,0.8,0,0,,,,,,
1,0.344498824243454,1,None,1,2,64,0.8,0,0,,,,,,
1,0.344498824243454,1,None,1,3,64,0.8,0,0,,,,,,
1,0.344498824243454,1,None,2,0,191,-0.8,0,1,1394.100000023842,,,,,
1,0.344498824243454,1,None,2,1,64,0.8,0,0,,,,,,
1,0.344498824243454,1,None,2,2,297,0.8,0,1,2511.700000047684,,,,,
1,0.344498824243454,1,None,2,3,64,0.8,0,0,,,,,,
1,0.344498824243454,1,None,3,0,64,0.8,0,0,,,,,,
1,0.344498824243454,1,None,3,1,37,0.8,0,1,2013.200000047684,,,,,
1,0.344498824243454,1,None,3,2,64,0.8,0,0,,,,,,
1,0.344498824243454,1,None,3,3,54,0.8,0,1,4025.600000023842,,,,,
1,0.344498824243454,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,9957.899999976158,353.0,,,,
2,0.3100579580698729,1,Scale,0,0,116,0.8931376541032632,0,1,1370.6999999284744,,,,,
2,0.3100579580698729,1,Scale,0,1,153,-0.7881355765477397,0,0,,,,,,
2,0.3100579580698729,1,Scale,0,2,70,0.8468115800393177,0,1,4011.099999904633,,,,,
2,0.3100579580698729,1,Scale,0,3,153,-0.7300304773256219,0,0,,,,,,
2,0.3100579580698729,1,Scale,0,4,230,0.7674485752032684,0,1,7603.099999904633,,,,,
2,0.3100579580698729,1,Scale,0,5,153,0.6169024675312671,0,0,,,,,,
2,0.3100579580698729,1,Scale,1,0,153,0.7742302295906628,0,0,,,,,,
2,0.3100579580698729,1,Scale,1,1,153,0.695831418562873,0,0,,,,,,
2,0.3100579580698729,1,Scale,1,2,153,0.7730039385493288,0,0,,,,,,
2,0.3100579580698729,1,Scale,1,3,63,0.7430107192606055,0,1,6373.199999928474,,,,,
2,0.3100579580698729,1,Scale,1,4,154,0.6899088742215008,0,1,7158.899999976158,,,,,
2,0.3100579580698729,1,Scale,1,5,328,0.6152015424440449,0,1,11486.299999952316,,,,,
2,0.3100579580698729,1,Scale,2,0,153,-0.7316769563906,0,0,,,,,,
2,0.3100579580698729,1,Scale,2,1,153,0.6023944444843524,0,0,,,,,,
2,0.3100579580698729,1,Scale,2,2,153,0.8973361556796622,0,0,,,,,,
2,0.3100579580698729,1,Scale,2,3,153,0.6673357176242777,0,0,,,,,,
2,0.3100579580698729,1,Scale,2,4,153,0.7707317775243683,0,0,,,,,,
2,0.3100579580698729,1,Scale,2,5,153,0.7122596493420866,0,0,,,,,,
2,0.3100579580698729,1,Scale,3,0,153,0.7735558193093972,0,0,,,,,,
2,0.3100579580698729,1,Scale,3,1,290,0.6550013497163774,0,1,3143.099999904633,,,,,
2,0.3100579580698729,1,Scale,3,2,153,0.7104167920142206,0,0,,,,,,
2,0.3100579580698729,1,Scale,3,3,171,0.6970402021173026,0,1,5397.5,,,,,
2,0.3100579580698729,1,Scale,3,4,153,0.8169591160633525,0,0,,,,,,
2,0.3100579580698729,1,Scale,3,5,142,0.8935501465289291,0,1,10273.699999928474,,,,,
2,0.3100579580698729,1,Scale,4,0,153,0.6392159025585419,0,0,,,,,,
2,0.3100579580698729,1,Scale,4,1,153,0.8707935507633853,0,0,,,,,,
2,0.3100579580698729,1,Scale,4,2,153,0.8362581830299038,0,0,,,,,,
2,0.3100579580698729,1,Scale,4,3,153,0.749131028792386,0,0,,,,,,
2,0.3100579580698729,1,Scale,4,4,153,-0.619282433381658,0,0,,,,,,
2,0.3100579580698729,1,Scale,4,5,79,0.8713019201220382,0,1,9827.699999928474,,,,,
2,0.3100579580698729,1,Scale,5,0,153,0.8355305785377711,0,0,,,,,,
2,0.3100579580698729,1,Scale,5,1,153,0.665043207503622,0,0,,,,,,
2,0.3100579580698729,1,Scale,5,2,153,0.8847306706555471,0,0,,,,,,
2,0.3100579580698729,1,Scale,5,3,153,0.7689871075644357,0,0,,,,,,
2,0.3100579580698729,1,Scale,5,4,371,0.715962478046943,0,1,8894.5,,,,,
2,0.3100579580698729,1,Scale,5,5,153,0.6825201961059679,0,0,,,,,,
2,0.3100579580698729,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,25214.5,433.0,,,,
3,0.3197885099594937,1,None,0,0,101,-0.8,0,0,,,,,,
3,0.3197885099594937,1,None,0,1,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,0,2,183,0.8,0,1,5087.899999976158,,,,,
3,0.3197885099594937,1,None,0,3,301,0.8,0,1,9604.600000023842,,,,,
3,0.3197885099594937,1,None,0,4,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,0,5,111,0.8,0,1,12692.0,,,,,
3,0.3197885099594937,1,None,0,6,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,0,7,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,1,0,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,1,1,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,1,2,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,1,3,101,-0.8,0,0,,,,,,
3,0.3197885099594937,1,None,1,4,101,-0.8,0,0,,,,,,
3,0.3197885099594937,1,None,1,5,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,1,6,114,0.8,0,1,13421.200000047684,,,,,
3,0.3197885099594937,1,None,1,7,101,-0.8,0,0,,,,,,
3,0.3197885099594937,1,None,2,0,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,2,1,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,2,2,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,2,3,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,2,4,41,-0.8,0,1,10537.300000071526,,,,,
3,0.3197885099594937,1,None,2,5,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,2,6,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,2,7,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,3,0,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,3,1,359,-0.8,0,1,4394.700000047684,,,,,
3,0.3197885099594937,1,None,3,2,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,3,3,224,0.8,0,1,8966.200000047684,,,,,
3,0.3197885099594937,1,None,3,4,101,-0.8,0,0,,,,,,
3,0.3197885099594937,1,None,3,5,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,3,6,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,3,7,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,4,0,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,4,1,101,-0.8,0,0,,,,,,
3,0.3197885099594937,1,None,4,2,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,4,3,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,4,4,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,4,5,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,4,6,126,0.8,0,1,16461.100000023842,,,,,
3,0.3197885099594937,1,None,4,7,42,0.8,0,1,17213.700000047684,,,,,
3,0.3197885099594937,1,None,5,0,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,5,1,206,0.8,0,1,3682.399999976158,,,,,
3,0.3197885099594937,1,None,5,2,28,0.8,0,1,5785.300000071526,,,,,
3,0.3197885099594937,1,None,5,3,67,0.8,0,1,8179.300000071526,,,,,
3,0.3197885099594937,1,None,5,4,334,0.8,0,1,11365.399999976158,,,,,
3,0.3197885099594937,1,None,5,5,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,5,6,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,5,7,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,6,0,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,6,1,275,-0.8,0,1,2992.899999976158,,,,,
3,0.3197885099594937,1,None,6,2,4,0.8,0,1,6395.0,,,,,
3,0.3197885099594937,1,None,6,3,278,0.8,0,1,7703.399999976158,,,,,
3,0.3197885099594937,1,None,6,4,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,6,5,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,6,6,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,6,7,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,7,0,128,0.8,0,1,2421.100000023842,,,,,
3,0.3197885099594937,1,None,7,1,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,7,2,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,7,3,76,0.8,0,1,7258.600000023842,,,,,
3,0.3197885099594937,1,None,7,4,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,7,5,101,0.8,0,0,,,,,,
3,0.3197885099594937,1,None,7,6,294,-0.8,0,1,15836.100000023842,,,,,
3,0.3197885099594937,1,None,7,7,54,0.8,0,1,18321.700000047684,,,,,
3,0.3197885099594937,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,48899.39999997616,424.0,,,,
4,0.3987911817469471,1,Composite,0,0,24,0.7184697338311762,-1.0529553595119159,0,,,,,,
4,0.3987911817469471,1,Composite,0,1,0,0.849410510994141,0.6690465880124488,1,6925.199999928474,,,,,
4,0.3987911817469471,1,Composite,0,2,24,0.6398022876858391,1.0256305372474852,0,,,,,,
4,0.3987911817469471,1,Composite,0,3,24,0.7988426387579111,-0.44577726523296635,0,,,,,,
