trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2
1,0.3586830272200466,1,Rotate,0,0,147,0.8,0.8739469061035754,0,,,
1,0.3586830272200466,1,Rotate,0,1,203,0.8,1.0731814507758761,1,14250.399999999909,,
1,0.3586830272200466,1,Rotate,0,2,303,0.8,0.7032508022799382,1,14721.59999999986,,
1,0.3586830272200466,1,Rotate,0,3,147,0.8,1.08823500104661,0,,,
1,0.3586830272200466,1,Rotate,1,0,153,0.8,0.45598587816670033,1,13710.59999999986,,
1,0.3586830272200466,1,Rotate,1,1,147,0.8,0.355012664724937,0,,,
1,0.3586830272200466,1,Rotate,1,2,304,0.8,-0.26152066596582224,1,16330.699999999952,,
1,0.3586830272200466,1,Rotate,1,3,89,0.8,-0.3634228725184141,1,15618.899999999909,,
1,0.3586830272200466,1,Rotate,2,0,147,0.8,1.059399513352183,0,,,
1,0.3586830272200466,1,Rotate,2,1,147,0.8,0.4950495123238876,0,,,
1,0.3586830272200466,1,Rotate,2,2,147,0.8,-1.4852800626765974,0,,,
1,0.3586830272200466,1,Rotate,2,3,147,0.8,1.2453551101234286,0,,,
1,0.3586830272200466,1,Rotate,3,0,147,0.8,0.5522723974686676,0,,,
1,0.3586830272200466,1,Rotate,3,1,147,0.8,0.3741386807450551,0,,,
1,0.3586830272200466,1,Rotate,3,2,147,0.8,-0.9373050774004041,0,,,
1,0.3586830272200466,1,Rotate,3,3,147,0.8,1.487894260682165,0,,,
1,0.3586830272200466,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,43834.69999999995,133.0,
2,0.3064622008515208,1,Scale,0,0,366,0.6434463320269124,0,1,1858.600000000093,,
2,0.3064622008515208,1,Scale,0,1,52,0.714767460657887,0,0,,,
2,0.3064622008515208,1,Scale,0,2,52,0.739647010150102,0,0,,,
2,0.3064622008515208,1,Scale,0,3,52,0.6426883583525872,0,0,,,
2,0.3064622008515208,1,Scale,0,4,52,-0.6671192534972474,0,0,,,
2,0.3064622008515208,1,Scale,0,5,52,0.6753077732887587,0,0,,,
2,0.3064622008515208,1,Scale,1,0,52,0.8508069400828533,0,0,,,
2,0.3064622008515208,1,Scale,1,1,52,0.6969632210547073,0,0,,,
2,0.3064622008515208,1,Scale,1,2,63,0.6620999098459815,0,1,4760.5,,
2,0.3064622008515208,1,Scale,1,3,52,0.6141114175116259,0,0,,,
2,0.3064622008515208,1,Scale,1,4,52,0.6628043124991584,0,0,,,
2,0.3064622008515208,1,Scale,1,5,233,0.7482987127729244,0,1,5669.199999999953,,
2,0.3064622008515208,1,Scale,2,0,181,0.828813369009991,0,1,2423.5,,
2,0.3064622008515208,1,Scale,2,1,6,-0.7616793903582649,0,1,3737.399999999907,,
2,0.3064622008515208,1,Scale,2,2,331,0.7413752469348034,0,1,4219.0,,
2,0.3064622008515208,1,Scale,2,3,52,0.8973422286494492,0,0,,,
2,0.3064622008515208,1,Scale,2,4,52,0.846006427680102,0,0,,,
2,0.3064622008515208,1,Scale,2,5,14,0.7067632397693678,0,1,8506.600000000093,,
2,0.3064622008515208,1,Scale,3,0,52,0.6172101993291073,0,0,,,
2,0.3064622008515208,1,Scale,3,1,52,-0.696760562739347,0,0,,,
2,0.3064622008515208,1,Scale,3,2,52,0.614805889535147,0,0,,,
2,0.3064622008515208,1,Scale,3,3,52,0.854387533625917,0,0,,,
2,0.3064622008515208,1,Scale,3,4,52,0.7099122217107743,0,0,,,
2,0.3064622008515208,1,Scale,3,5,12,0.7063846296727903,0,1,6159.600000000093,,
2,0.3064622008515208,1,Scale,4,0,312,-0.7939260256564449,0,1,3013.399999999907,,
2,0.3064622008515208,1,Scale,4,1,52,0.8023465374452132,0,0,,,
2,0.3064622008515208,1,Scale,4,2,52,0.8690697158428847,0,0,,,
2,0.3064622008515208,1,Scale,4,3,40,0.7345776174711063,0,1,,,
