trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2
1,0.3991336510744969,1,Scale,0,0,134,0.7172669505809097,0,1,8349.80000000028,,
1,0.3991336510744969,1,Scale,0,1,99,0.7646421447587787,0,0,,,
1,0.3991336510744969,1,Scale,0,2,81,0.8699895846977552,0,1,6129.5,,
1,0.3991336510744969,1,Scale,0,3,329,0.8830357989885875,0,1,6582.9000000003725,,
1,0.3991336510744969,1,Scale,1,0,99,0.6504006895691531,0,0,,,
1,0.3991336510744969,1,Scale,1,1,99,0.7789680123882942,0,0,,,
1,0.3991336510744969,1,Scale,1,2,302,0.7075959173835347,0,1,5717.700000000186,,
1,0.3991336510744969,1,Scale,1,3,99,0.83616555951268,0,0,,,
1,0.3991336510744969,1,Scale,2,0,99,0.8176479123466671,0,0,,,
1,0.3991336510744969,1,Scale,2,1,35,0.8262820315004695,0,1,7313.5,,
1,0.3991336510744969,1,Scale,2,2,99,0.8694635857222578,0,0,,,
1,0.3991336510744969,1,Scale,2,3,99,0.7088520341924103,0,0,,,
1,0.3991336510744969,1,Scale,3,0,99,0.6687933567859929,0,0,,,
1,0.3991336510744969,1,Scale,3,1,99,0.6320643622779709,0,0,,,
1,0.3991336510744969,1,Scale,3,2,295,0.7184251280407783,0,1,10317.0,,
1,0.3991336510744969,1,Scale,3,3,99,0.7715315843157663,0,0,,,
1,0.3991336510744969,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,27054.400000000373,160.0,
2,0.3782489511696939,1,Rotate,0,0,127,0.8,0.5860443641635333,1,1922.6999999997208,,
2,0.3782489511696939,1,Rotate,0,1,252,0.8,-0.2675241572052678,1,2636.2999999998137,,
2,0.3782489511696939,1,Rotate,0,2,57,0.8,1.1602269536871446,0,,,
2,0.3782489511696939,1,Rotate,0,3,57,0.8,0.08150237490581991,0,,,
2,0.3782489511696939,1,Rotate,0,4,57,0.8,-0.9627585639153992,0,,,
2,0.3782489511696939,1,Rotate,0,5,57,0.8,-0.9842292263545035,0,,,
2,0.3782489511696939,1,Rotate,1,0,57,-0.8,0.8092157702915954,0,,,
2,0.3782489511696939,1,Rotate,1,1,57,0.8,-1.5694285700129817,0,,,
2,0.3782489511696939,1,Rotate,1,2,57,0.8,0.2679031473212181,0,,,
2,0.3782489511696939,1,Rotate,1,3,187,0.8,-0.7992803664592826,1,5676.399999999907,,
