trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2,3,4,5,6,7,8,9
1,0.3865535731206785,1,Composite,0,0,104,0.7980121411230312,-0.05463532401511517,1,3767.199999999775,,,,,,,,,
1,0.3865535731206785,1,Composite,0,1,351,0.8720782157678852,1.488390471486341,1,4119.299999999839,,,,,,,,,
1,0.3865535731206785,1,Composite,0,2,281,0.6148907145631379,0.4089849174232729,0,,,,,,,,,,
1,0.3865535731206785,1,Composite,0,3,281,0.7145301599703331,-1.3651094273299922,0,,,,,,,,,,
1,0.3865535731206785,1,Composite,1,0,281,0.7882757335314513,-1.4254823448290945,0,,,,,,,,,,
1,0.3865535731206785,1,Composite,1,1,281,0.642809429769047,1.115614909258392,0,,,,,,,,,,
1,0.3865535731206785,1,Composite,1,2,223,0.8545927130946523,-1.1142440641845477,1,3119.400000000041,,,,,,,,,
1,0.3865535731206785,1,Composite,1,3,281,0.7895753739283176,-1.283365482157715,0,,,,,,,,,,
1,0.3865535731206785,1,Composite,2,0,327,0.7147902311129378,0.9959261045566143,1,4608.400000000074,,,,,,,,,
1,0.3865535731206785,1,Composite,2,1,281,0.8213477972205142,-1.1941799873747876,0,,,,,,,,,,
1,0.3865535731206785,1,Composite,2,2,281,0.8027952893532466,1.5372008888607245,0,,,,,,,,,,
1,0.3865535731206785,1,Composite,2,3,281,-0.8078103219255961,0.29553321325949655,0,,,,,,,,,,
1,0.3865535731206785,1,Composite,3,0,320,0.6304837613396072,1.2513768082997876,1,5031.100000000151,,,,,,,,,
1,0.3865535731206785,1,Composite,3,1,232,0.750098977431544,0.24224150171534253,1,9087.100000000191,,,,,,,,,
1,0.3865535731206785,1,Composite,3,2,281,0.7965472679016155,1.171649887323556,0,,,,,,,,,,
1,0.3865535731206785,1,Composite,3,3,281,-0.7307106815295443,-1.3998613296886955,0,,,,,,,,,,
1,0.3865535731206785,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,19014.400000000023,294.0,,,,,,,,
2,0.329661772999998,1,Rotate,0,0,142,0.8,-1.366682041591515,1,1078.5000000000764,,,,,,,,,
2,0.329661772999998,1,Rotate,0,1,123,0.8,0.5692673436157909,0,,,,,,,,,,
2,0.329661772999998,1,Rotate,0,2,123,0.8,-0.6955601225853327,0,,,,,,,,,,
2,0.329661772999998,1,Rotate,0,3,123,0.8,-0.7587424513084378,0,,,,,,,,,,
2,0.329661772999998,1,Rotate,0,4,123,0.8,0.4290953782472513,0,,,,,,,,,,
2,0.329661772999998,1,Rotate,0,5,123,0.8,1.2149069321691566,0,,,,,,,,,,
2,0.329661772999998,1,Rotate,1,0,300,0.8,-0.8367453564826504,1,1815.400000000409,,,,,,,,,
2,0.329661772999998,1,Rotate,1,1,123,0.8,0.0707249888012742,0,,,,,,,,,,
2,0.329661772999998,1,Rotate,1,2,123,-0.8,-1.2711015034037345,0,,,,,,,,,,
2,0.329661772999998,1,Rotate,1,3,199,-0.8,0.539584859810537,1,3950.400000000173,,,,,,,,,
2,0.329661772999998,1,Rotate,1,4,123,0.8,1.4143059986882869,0,,,,,,,,,,
2,0.329661772999998,1,Rotate,1,5,225,0.8,-0.8365657270472355,1,5958.400000000438,,,,,,,,,
2,0.329661772999998,1,Rotate,2,0,123,0.8,1.004112492899241,0,,,,,,,,,,
2,0.329661772999998,1,Rotate,2,1,123,0.8,-1.1976915363648653,0,,,,,,,,,,
2,0.329661772999998,1,Rotate,2,2,210,0.8,-0.43031426628973346,1,2615.1000000004387,,,,,,,,,
2,0.329661772999998,1,Rotate,2,3,105,0.8,0.34402841242175275,1,3566.50000000036,,,,,,,,,
2,0.329661772999998,1,Rotate,2,4,157,0.8,-0.31682899291930267,1,5430.500000000393,,,,,,,,,
2,0.329661772999998,1,Rotate,2,5,123,0.8,-1.525611661654522,0,,,,,,,,,,
2,0.329661772999998,1,Rotate,3,0,123,0.8,-0.28041716005667117,0,,,,,,,,,,
2,0.329661772999998,1,Rotate,3,1,123,0.8,1.109183636972551,0,,,,,,,,,,
2,0.329661772999998,1,Rotate,3,2,319,0.8,-0.8724328864052366,1,3150.7000000001426,,,,,,,,,
2,0.329661772999998,1,Rotate,3,3,123,0.8,1.4958477650479183,0,,,,,,,,,,
2,0.329661772999998,1,Rotate,3,4,123,0.8,-1.280157251350907,0,,,,,,,,,,
2,0.329661772999998,1,Rotate,3,5,123,0.8,-0.794396036862441,0,,,,,,,,,,
2,0.329661772999998,1,Rotate,4,0,123,0.8,0.1687135169776599,0,,,,,,,,,,
2,0.329661772999998,1,Rotate,4,1,123,0.8,0.0031476654638287194,0,,,,,,,,,,
2,0.329661772999998,1,Rotate,4,2,224,0.8,-0.12384106644857407,1,,,,,,,,,,
2,0.329661772999998,1,Rotate,4,3,123,0.8,-0.6301055006014489,0,,,,,,,,,,
2,0.329661772999998,1,Rotate,4,4,123,0.8,-1.2446242044466678,0,,,,,,,,,,
2,0.329661772999998,1,Rotate,4,5,123,0.8,-0.9949731701547274,0,,,,,,,,,,
2,0.329661772999998,1,Rotate,5,0,123,0.8,-0.7530776715964655,0,,,,,,,,,,
2,0.329661772999998,1,Rotate,5,1,123,0.8,-0.9583073336960195,0,,,,,,,,,,
2,0.329661772999998,1,Rotate,5,2,20,0.8,0.1598515459214569,1,,,,,,,,,,
2,0.329661772999998,1,Rotate,5,3,334,0.8,0.09449463877010444,1,4838.600000000042,,,,,,,,,
2,0.329661772999998,1,Rotate,5,4,123,0.8,-0.9927642787564704,0,,,,,,,,,,
2,0.329661772999998,1,Rotate,5,5,123,0.8,-0.5672489021748228,0,,,,,,,,,,
2,0.329661772999998,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,30607.300000000123,577.0,,,,,,,,
3,0.3228590904764338,1,Composite,0,0,282,0.6520926332887153,-1.2870166892309725,1,1151.600000000151,,,,,,,,,
3,0.3228590904764338,1,Composite,0,1,75,0.8292073288193033,-0.8703363146337335,0,,,,,,,,,,
3,0.3228590904764338,1,Composite,0,2,75,0.6733694032721033,0.37619499481134855,0,,,,,,,,,,
3,0.3228590904764338,1,Composite,0,3,75,0.647409006857953,-1.1095629367839956,0,,,,,,,,,,
3,0.3228590904764338,1,Composite,0,4,75,0.727744606655881,0.9530249741697361,0,,,,,,,,,,
3,0.3228590904764338,1,Composite,0,5,75,0.7940762575944654,1.4653632645013026,0,,,,,,,,,,
3,0.3228590904764338,1,Composite,0,6,75,0.8870643280561278,-0.36774637408128585,0,,,,,,,,,,
3,0.3228590904764338,1,Composite,0,7,75,0.7488081090989979,-0.42522810665806277,0,,,,,,,,,,
3,0.3228590904764338,1,Composite,1,0,179,-0.6041148850565574,0.6476283728121204,1,1695.5000000002692,,,,,,,,,
3,0.3228590904764338,1,Composite,1,1,114,0.7875921819919287,-1.400798532943315,1,4256.00000000032,,,,,,,,,
3,0.3228590904764338,1,Composite,1,2,69,0.8093818382654271,1.4914257260887647,1,7743.4000000003,,,,,,,,,
3,0.3228590904764338,1,Composite,1,3,75,0.6682607172168076,0.052824931730941715,0,,,,,,,,,,
3,0.3228590904764338,1,Composite,1,4,75,0.8692639743843811,-0.5402218418389924,0,,,,,,,,,,
3,0.3228590904764338,1,Composite,1,5,82,0.881969330395317,-1.1633224685901447,1,11959.40000000019,,,,,,,,,
3,0.3228590904764338,1,Composite,1,6,75,-0.6007503285449869,1.5474304310512719,0,,,,,,,,,,
3,0.3228590904764338,1,Composite,1,7,75,0.8056553305315097,-0.4981239618285733,0,,,,,,,,,,
