trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2
1,0.3029449527529986,1,Scale,0,0,152,0.8756337645845896,0,0,,,
1,0.3029449527529986,1,Scale,0,1,152,0.8413627813266228,0,0,,,
1,0.3029449527529986,1,Scale,0,2,46,0.644046610283362,0,1,4831.5,,
1,0.3029449527529986,1,Scale,0,3,152,0.8760553114938602,0,0,,,
1,0.3029449527529986,1,Scale,1,0,152,0.8743167929821083,0,0,,,
1,0.3029449527529986,1,Scale,1,1,152,0.8604343237598335,0,0,,,
1,0.3029449527529986,1,Scale,1,2,72,0.888833932169048,0,1,5314.4000000059605,,
1,0.3029449527529986,1,Scale,1,3,152,-0.75384785708858,0,0,7277.700000017881,18011.90000000596,18078.70000001788
1,0.3029449527529986,1,Scale,2,0,152,0.7878272502261588,0,0,,,
1,0.3029449527529986,1,Scale,2,1,152,0.8147278704028745,0,0,,,
1,0.3029449527529986,1,Scale,2,2,152,0.7494894689358905,0,0,,,
1,0.3029449527529986,1,Scale,2,3,177,0.6708834942788077,0,1,6833.5,,
1,0.3029449527529986,1,Scale,3,0,152,0.8345323695327322,0,0,,,
1,0.3029449527529986,1,Scale,3,1,152,0.7644163779507301,0,0,,,
1,0.3029449527529986,1,Scale,3,2,119,0.784360422046331,0,1,6023.4000000059605,,
1,0.3029449527529986,1,Scale,3,3,152,0.7792411558231263,0,0,,,
1,0.3029449527529986,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,28462.59999999404,82.0,
2,0.350212651847505,1,Rotate,0,0,224,0.8,0.5243275678921324,1,4438.0,,
2,0.350212651847505,1,Rotate,0,1,52,0.8,0.12381705022406253,0,,,
2,0.350212651847505,1,Rotate,0,2,52,0.8,-0.2210150992506883,0,,,
2,0.350212651847505,1,Rotate,0,3,192,0.8,1.5188893267110593,1,6149.799999982119,,
2,0.350212651847505,1,Rotate,0,4,208,0.8,1.2309601481998702,1,6580.09999999404,,
2,0.350212651847505,1,Rotate,0,5,31,0.8,-0.6885686219372936,1,6989.799999982119,,
2,0.350212651847505,1,Rotate,1,0,52,0.8,-0.8339945418769027,0,,,
2,0.350212651847505,1,Rotate,1,1,182,0.8,0.3179426345274172,1,5642.09999999404,,
2,0.350212651847505,1,Rotate,1,2,52,-0.8,-1.2136726604772592,0,,,
2,0.350212651847505,1,Rotate,1,3,52,0.8,0.13067592052162724,0,,,
2,0.350212651847505,1,Rotate,1,4,52,0.8,1.3433497230740818,0,,,
2,0.350212651847505,1,Rotate,1,5,52,0.8,0.37785520177759047,0,,,
2,0.350212651847505,1,Rotate,2,0,128,0.8,-0.0891474710297071,1,5141.5,,
2,0.350212651847505,1,Rotate,2,1,52,-0.8,-0.6998633424152682,0,,,
2,0.350212651847505,1,Rotate,2,2,379,0.8,0.991327901279313,1,8275.799999982119,,
2,0.350212651847505,1,Rotate,2,3,219,0.8,-0.9453162385908606,1,7915.599999994039,,
2,0.350212651847505,1,Rotate,2,4,52,0.8,1.2174807353756303,0,,,
2,0.350212651847505,1,Rotate,2,5,82,0.8,-0.03166847461841171,1,7459.5,,
2,0.350212651847505,1,Rotate,3,0,52,-0.8,-1.5002823110563634,0,,,
2,0.350212651847505,1,Rotate,3,1,52,0.8,0.7287179645349049,0,,,
2,0.350212651847505,1,Rotate,3,2,52,0.8,0.4304378946652263,0,,,
2,0.350212651847505,1,Rotate,3,3,52,0.8,-1.5546604453109125,0,,,
2,0.350212651847505,1,Rotate,3,4,52,0.8,-1.361823190819747,0,,,
2,0.350212651847505,1,Rotate,3,5,284,0.8,0.8015887491002038,1,9868.899999976158,,
2,0.350212651847505,1,Rotate,4,0,52,0.8,0.8885000923979747,0,,,
2,0.350212651847505,1,Rotate,4,1,52,-0.8,-1.1583490404385448,0,,,
2,0.350212651847505,1,Rotate,4,2,52,0.8,-0.700704681016694,0,,,
2,0.350212651847505,1,Rotate,4,3,52,-0.8,-0.2209994896186318,0,,,
2,0.350212651847505,1,Rotate,4,4,52,0.8,0.8813003517760745,0,,,
2,0.350212651847505,1,Rotate,4,5,52,0.8,-0.008729280162055764,0,,,
2,0.350212651847505,1,Rotate,5,0,52,0.8,0.7725032124361468,0,,,
2,0.350212651847505,1,Rotate,5,1,52,0.8,-0.08717256678393004,0,,,
2,0.350212651847505,1,Rotate,5,2,64,0.8,-1.3512433685401875,1,9123.899999976158,,
2,0.350212651847505,1,Rotate,5,3,52,0.8,-0.5267072466114644,0,,,
2,0.350212651847505,1,Rotate,5,4,52,-0.8,-0.0012298658855400824,0,,,
2,0.350212651847505,1,Rotate,5,5,240,0.8,-1.4253436784164566,1,10353.899999976158,,
2,0.350212651847505,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,40994.70000001788,573.0,
3,0.3406263330979629,1,Rotate,0,0,360,0.8,1.4842560165908747,0,,,
3,0.3406263330979629,1,Rotate,0,1,360,0.8,0.8189286077349158,0,,,
3,0.3406263330979629,1,Rotate,0,2,259,0.8,0.3532110297225175,1,2074.7999999821186,2143.0,
3,0.3406263330979629,1,Rotate,0,3,360,0.8,-1.3012370911245277,0,,,
3,0.3406263330979629,1,Rotate,0,4,360,0.8,1.1700036989509996,0,,,
3,0.3406263330979629,1,Rotate,0,5,360,0.8,-1.423914701818939,0,,,
3,0.3406263330979629,1,Rotate,0,6,242,0.8,-1.1543109668302083,1,3783.5,,
3,0.3406263330979629,1,Rotate,0,7,249,0.8,0.3359805974570249,1,4238.299999982119,,
3,0.3406263330979629,1,Rotate,1,0,360,0.8,-0.33381709230426093,0,,,
