trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2
1,0.3383237214934596,1,Composite,0,0,238,0.8457304087863785,-0.8345360345381566,0,,,
1,0.3383237214934596,1,Composite,0,1,238,0.8942852995334759,0.7321101758584314,0,,,
1,0.3383237214934596,1,Composite,0,2,238,0.6408967339752762,-0.31750443321266153,0,,,
1,0.3383237214934596,1,Composite,0,3,238,0.6363995074821664,-0.9388808475012299,0,,,
1,0.3383237214934596,1,Composite,1,0,238,0.7812008386738283,1.1260660360804207,0,,,
1,0.3383237214934596,1,Composite,1,1,308,-0.6946238632687672,-1.0216887071657252,1,4360.799999999814,,
1,0.3383237214934596,1,Composite,1,2,163,0.7998806644510191,-0.3963739888991704,1,6986.200000000186,,
1,0.3383237214934596,1,Composite,1,3,384,0.7409691849528307,-0.4996433056619036,1,7653.200000000186,,
1,0.3383237214934596,1,Composite,2,0,238,0.8654264339246434,1.0909890764083756,0,,,
1,0.3383237214934596,1,Composite,2,1,238,0.8463597452552463,0.8143490492684711,0,,,
1,0.3383237214934596,1,Composite,2,2,84,0.632110961769427,0.8408629070479638,1,6537.700000000186,,
1,0.3383237214934596,1,Composite,2,3,238,0.8763470978098268,-0.38454654671761324,0,,,
1,0.3383237214934596,1,Composite,3,0,238,0.7188860922749357,-0.0370139236340834,0,,,
1,0.3383237214934596,1,Composite,3,1,319,0.6252243064623102,-0.5718745121639482,1,5905.4000000003725,,
1,0.3383237214934596,1,Composite,3,2,238,0.8548576681897515,1.0529839775645176,0,,,
1,0.3383237214934596,1,Composite,3,3,238,0.8270281107036496,0.7258208469214296,0,,,
1,0.3383237214934596,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,67275.79999999981,254.0,
2,0.3973784856818316,1,None,0,0,369,0.8,0,1,,,
2,0.3973784856818316,1,None,0,1,278,0.8,0,0,,,
2,0.3973784856818316,1,None,0,2,54,0.8,0,1,1289.7999999998135,,
2,0.3973784856818316,1,None,0,3,278,0.8,0,0,,,
2,0.3973784856818316,1,None,0,4,278,-0.8,0,0,2639.399999999441,3583.7999999998137,
2,0.3973784856818316,1,None,0,5,278,0.8,0,0,,,
2,0.3973784856818316,1,None,1,0,278,0.8,0,0,,,
2,0.3973784856818316,1,None,1,1,245,0.8,0,1,12346.39999999944,,
2,0.3973784856818316,1,None,1,2,278,0.8,0,0,,,
2,0.3973784856818316,1,None,1,3,278,0.8,0,0,,,
2,0.3973784856818316,1,None,1,4,124,0.8,0,1,2162.0999999996275,,
2,0.3973784856818316,1,None,1,5,181,0.8,0,1,9332.5,,
2,0.3973784856818316,1,None,2,0,278,0.8,0,0,,,
2,0.3973784856818316,1,None,2,1,278,0.8,0,0,,,
2,0.3973784856818316,1,None,2,2,278,0.8,0,0,,,
2,0.3973784856818316,1,None,2,3,89,0.8,0,1,1735.0,,
2,0.3973784856818316,1,None,2,4,265,0.8,0,1,8017.399999999441,,
2,0.3973784856818316,1,None,2,5,153,0.8,0,1,9773.5,,
2,0.3973784856818316,1,None,3,0,278,0.8,0,0,,,
2,0.3973784856818316,1,None,3,1,278,0.8,0,0,,,
2,0.3973784856818316,1,None,3,2,162,0.8,0,1,14452.5,,
2,0.3973784856818316,1,None,3,3,79,0.8,0,1,7590.5,,
2,0.3973784856818316,1,None,3,4,278,0.8,0,0,,,
2,0.3973784856818316,1,None,3,5,58,-0.8,0,1,8690.299999999814,,
2,0.3973784856818316,1,None,4,0,278,0.8,0,0,,,
2,0.3973784856818316,1,None,4,1,278,0.8,0,0,,,
2,0.3973784856818316,1,None,4,2,278,0.8,0,0,,,
2,0.3973784856818316,1,None,4,3,376,0.8,0,1,6763.199999999255,,
2,0.3973784856818316,1,None,4,4,278,0.8,0,0,,,
2,0.3973784856818316,1,None,4,5,278,0.8,0,0,,,
2,0.3973784856818316,1,None,5,0,278,0.8,0,0,,,
2,0.3973784856818316,1,None,5,1,278,0.8,0,0,,,
2,0.3973784856818316,1,None,5,2,278,0.8,0,0,,,
2,0.3973784856818316,1,None,5,3,263,0.8,0,1,6441.399999999441,,
2,0.3973784856818316,1,None,5,4,163,-0.8,0,1,10710.099999999627,,
2,0.3973784856818316,1,None,5,5,278,0.8,0,0,,,
2,0.3973784856818316,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,88941.40000000037,445.0,
3,0.3431204699098633,1,Composite,0,0,153,0.8191046826392544,0.7136697518427737,0,,,
3,0.3431204699098633,1,Composite,0,1,153,0.7826713846296096,1.1220236234668417,0,,,
3,0.3431204699098633,1,Composite,0,2,153,0.8463404105973492,-1.353557475592733,0,,,
3,0.3431204699098633,1,Composite,0,3,153,0.6222590435125362,-0.767327949259859,0,,,
