trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2
1,0.3402964809221535,1,Rotate,0,0,346,0.8,1.2884346854517594,0,,,
1,0.3402964809221535,1,Rotate,0,1,346,0.8,0.724892527054454,0,,,
1,0.3402964809221535,1,Rotate,0,2,346,0.8,1.2587237002737943,0,,,
1,0.3402964809221535,1,Rotate,0,3,346,0.8,-1.1621526864215512,0,,,
1,0.3402964809221535,1,Rotate,1,0,383,0.8,0.28476108177087833,1,6325.600000143051,,
1,0.3402964809221535,1,Rotate,1,1,346,0.8,-1.0455841446842888,0,,,
1,0.3402964809221535,1,Rotate,1,2,227,0.8,0.4932385037061051,1,,,
1,0.3402964809221535,1,Rotate,1,3,346,0.8,-1.2767570717532433,0,,,
1,0.3402964809221535,1,Rotate,2,0,129,0.8,1.4516003049548352,1,9465.300000190737,,
1,0.3402964809221535,1,Rotate,2,1,346,0.8,-0.5701826728780515,0,,,
1,0.3402964809221535,1,Rotate,2,2,346,0.8,1.2722181750372337,0,,,
1,0.3402964809221535,1,Rotate,2,3,104,0.8,-0.6403909776768656,1,7856.200000047684,,
1,0.3402964809221535,1,Rotate,3,0,346,0.8,-0.751179414116037,0,,,
1,0.3402964809221535,1,Rotate,3,1,183,0.8,0.7227694351465148,1,10396.5,,
1,0.3402964809221535,1,Rotate,3,2,346,0.8,-1.4030895011408884,0,,,
1,0.3402964809221535,1,Rotate,3,3,346,0.8,1.3953634625157942,0,,,
1,0.3402964809221535,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,91612.5,159.0,
2,0.3112763699801563,1,None,0,0,117,0.8,0,0,,,
2,0.3112763699801563,1,None,0,1,269,0.8,0,1,3076.7999999523163,,
2,0.3112763699801563,1,None,0,2,117,0.8,0,0,,,
2,0.3112763699801563,1,None,0,3,378,0.8,0,1,6322.799999952316,,
2,0.3112763699801563,1,None,0,4,117,0.8,0,0,,,
2,0.3112763699801563,1,None,0,5,231,0.8,0,1,15115.699999809263,,
2,0.3112763699801563,1,None,1,0,117,0.8,0,0,,,
2,0.3112763699801563,1,None,1,1,117,0.8,0,0,,,
2,0.3112763699801563,1,None,1,2,99,0.8,0,1,4265.899999856949,,
2,0.3112763699801563,1,None,1,3,117,0.8,0,0,,,
2,0.3112763699801563,1,None,1,4,117,0.8,0,0,,,
2,0.3112763699801563,1,None,1,5,140,0.8,0,1,14147.399999856949,,
2,0.3112763699801563,1,None,2,0,263,0.8,0,1,1964.8999998569489,,
2,0.3112763699801563,1,None,2,1,117,0.8,0,0,,,
2,0.3112763699801563,1,None,2,2,274,0.8,0,1,5350.399999856949,,
2,0.3112763699801563,1,None,2,3,35,-0.8,0,1,7681.599999904633,,
2,0.3112763699801563,1,None,2,4,117,0.8,0,0,,,
2,0.3112763699801563,1,None,2,5,21,0.8,0,1,13171.0,,
2,0.3112763699801563,1,None,3,0,117,0.8,0,0,,,
2,0.3112763699801563,1,None,3,1,117,0.8,0,0,,,
2,0.3112763699801563,1,None,3,2,117,0.8,0,0,,,
2,0.3112763699801563,1,None,3,3,117,0.8,0,0,,,
2,0.3112763699801563,1,None,3,4,117,-0.8,0,0,11359.599999904633,,
2,0.3112763699801563,1,None,3,5,117,-0.8,0,0,17375.5,,
2,0.3112763699801563,1,None,4,0,117,0.8,0,0,,,
2,0.3112763699801563,1,None,4,1,117,0.8,0,0,,,
2,0.3112763699801563,1,None,4,2,117,0.8,0,0,,,
2,0.3112763699801563,1,None,4,3,117,0.8,0,0,,,
2,0.3112763699801563,1,None,4,4,117,0.8,0,0,,,
2,0.3112763699801563,1,None,4,5,117,0.8,0,0,,,
2,0.3112763699801563,1,None,5,0,117,0.8,0,0,,,
2,0.3112763699801563,1,None,5,1,117,0.8,0,0,,,
2,0.3112763699801563,1,None,5,2,117,0.8,0,0,,,
2,0.3112763699801563,1,None,5,3,117,0.8,0,0,,,
2,0.3112763699801563,1,None,5,4,245,0.8,0,1,9065.099999904633,,
2,0.3112763699801563,1,None,5,5,239,0.8,0,1,16300.099999904633,,
2,0.3112763699801563,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,128195.89999985696,134.0,
3,0.3900853093833772,1,Rotate,0,0,71,0.8,1.4853581913568314,0,,,
3,0.3900853093833772,1,Rotate,0,1,71,0.8,0.6540082594891854,0,,,
3,0.3900853093833772,1,Rotate,0,2,71,0.8,-1.4031819122244344,0,,,
3,0.3900853093833772,1,Rotate,0,3,71,0.8,1.2469826902023056,0,,,
3,0.3900853093833772,1,Rotate,0,4,71,0.8,-1.540528444793079,0,,,
3,0.3900853093833772,1,Rotate,0,5,71,0.8,-0.971823003973973,0,,,
3,0.3900853093833772,1,Rotate,0,6,71,-0.8,1.4813006570547724,0,,,
3,0.3900853093833772,1,Rotate,0,7,71,0.8,-0.22167571463047686,0,,,
3,0.3900853093833772,1,Rotate,1,0,117,0.8,1.2093554553326569,1,2423.200000047684,,
3,0.3900853093833772,1,Rotate,1,1,71,0.8,0.3732154990023129,0,,,
3,0.3900853093833772,1,Rotate,1,2,71,0.8,1.4627274845628944,0,,,
3,0.3900853093833772,1,Rotate,1,3,71,0.8,0.5522598551961919,0,,,
3,0.3900853093833772,1,Rotate,1,4,206,0.8,-0.4522358784123848,1,,,
3,0.3900853093833772,1,Rotate,1,5,124,0.8,-0.3794810703738225,1,,,
3,0.3900853093833772,1,Rotate,1,6,246,0.8,-0.7303339485646388,1,,,
3,0.3900853093833772,1,Rotate,1,7,71,0.8,-0.25578365827701166,0,,,
3,0.3900853093833772,1,Rotate,2,0,76,0.8,-1.0714546268771152,1,3620.100000143051,,
3,0.3900853093833772,1,Rotate,2,1,38,-0.8,0.3395679460855947,1,17806.10000014305,,
3,0.3900853093833772,1,Rotate,2,2,129,0.8,0.47659989548283566,1,20794.200000047684,,
3,0.3900853093833772,1,Rotate,2,3,89,0.8,-0.898673525933815,1,,,
3,0.3900853093833772,1,Rotate,2,4,29,-0.8,-0.8378276241385951,1,,,
3,0.3900853093833772,1,Rotate,2,5,71,-0.8,-0.3515596660622142,0,,,
3,0.3900853093833772,1,Rotate,2,6,71,0.8,0.4871850519400698,0,,,
3,0.3900853093833772,1,Rotate,2,7,71,0.8,-1.511808859478445,0,,,
3,0.3900853093833772,1,Rotate,3,0,311,0.8,-0.12944396713256068,1,4495.200000047684,,
3,0.3900853093833772,1,Rotate,3,1,71,0.8,-1.4810062114888656,0,,,
3,0.3900853093833772,1,Rotate,3,2,46,0.8,0.07927536728589257,1,21696.30000019073,,
3,0.3900853093833772,1,Rotate,3,3,231,-0.8,-0.314700123154805,1,29726.0,,
3,0.3900853093833772,1,Rotate,3,4,71,0.8,1.2678154600811467,0,,,
3,0.3900853093833772,1,Rotate,3,5,152,0.8,0.05274291214295301,1,,,
3,0.3900853093833772,1,Rotate,3,6,71,0.8,-0.46813543712669237,0,,,
3,0.3900853093833772,1,Rotate,3,7,71,0.8,-0.7287009317796279,0,,,
3,0.3900853093833772,1,Rotate,4,0,276,0.8,1.1437672021027798,1,5447.900000095367,,
3,0.3900853093833772,1,Rotate,4,1,71,-0.8,-0.3695396387241372,0,15862.0,,
3,0.3900853093833772,1,Rotate,4,2,71,0.8,-0.6320051486672577,0,,,
3,0.3900853093833772,1,Rotate,4,3,71,0.8,0.11175880866620269,0,28941.400000095367,,
3,0.3900853093833772,1,Rotate,4,4,277,0.8,1.4632519086274778,1,,,
3,0.3900853093833772,1,Rotate,4,5,71,0.8,-0.23568991079884927,0,,,
3,0.3900853093833772,1,Rotate,4,6,71,0.8,0.20636561156079125,0,,,
3,0.3900853093833772,1,Rotate,4,7,71,0.8,-1.3212858717734872,0,,,
3,0.3900853093833772,1,Rotate,5,0,26,0.8,-0.6579710221704931,1,6411.900000095367,,
3,0.3900853093833772,1,Rotate,5,1,71,0.8,-1.508230782196938,0,,,
3,0.3900853093833772,1,Rotate,5,2,71,0.8,-0.1673606361995763,0,,,
3,0.3900853093833772,1,Rotate,5,3,55,0.8,0.5376377042051224,1,28149.60000014305,,
3,0.3900853093833772,1,Rotate,5,4,71,0.8,0.7238335597084791,0,,,
3,0.3900853093833772,1,Rotate,5,5,313,0.8,-0.441693807071732,1,,,
3,0.3900853093833772,1,Rotate,5,6,71,0.8,-0.795916128368042,0,,,
3,0.3900853093833772,1,Rotate,5,7,71,0.8,1.1081261621102927,0,,,
3,0.3900853093833772,1,Rotate,6,0,71,0.8,-0.48463533345276644,0,,,
3,0.3900853093833772,1,Rotate,6,1,71,0.8,0.8644340529574821,0,,,
3,0.3900853093833772,1,Rotate,6,2,71,0.8,-1.5443425616520217,0,,,
3,0.3900853093833772,1,Rotate,6,3,68,0.8,-0.5323023051723936,1,27283.60000014305,,
3,0.3900853093833772,1,Rotate,6,4,71,0.8,-0.043472504381964594,0,,,
3,0.3900853093833772,1,Rotate,6,5,71,0.8,0.3820214884194546,0,,,
3,0.3900853093833772,1,Rotate,6,6,271,0.8,0.051588090135760156,1,,,
3,0.3900853093833772,1,Rotate,6,7,71,0.8,-0.1946512246857679,0,,,
3,0.3900853093833772,1,Rotate,7,0,204,0.8,-0.24739333024353072,1,9869.0,,
3,0.3900853093833772,1,Rotate,7,1,302,0.8,0.6493654698775582,1,10855.200000047684,,
3,0.3900853093833772,1,Rotate,7,2,71,0.8,0.4526292786736592,0,,,
3,0.3900853093833772,1,Rotate,7,3,154,-0.8,1.0641622389932608,1,26369.10000014305,,
3,0.3900853093833772,1,Rotate,7,4,71,0.8,-0.4183386888535734,0,,,
3,0.3900853093833772,1,Rotate,7,5,71,0.8,0.36216302050273463,0,,,
3,0.3900853093833772,1,Rotate,7,6,17,0.8,-1.245155221191174,1,,,
3,0.3900853093833772,1,Rotate,7,7,71,-0.8,0.11857280097590284,0,,,
3,0.3900853093833772,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,162604.5,162.0,
4,0.3305615630298841,1,Composite,0,0,300,0.7809224769389111,-0.6137419441535581,1,17567.400000095367,,
4,0.3305615630298841,1,Composite,0,1,359,0.8218877800741112,-0.4197082843613851,0,,,
4,0.3305615630298841,1,Composite,0,2,316,0.86631034123022,-0.1522688956762086,1,18686.200000047684,,
4,0.3305615630298841,1,Composite,0,3,359,0.7581331688553457,-1.290258896638957,0,,,
4,0.3305615630298841,1,Composite,0,4,156,0.783400254124119,-0.8349860517770551,1,19749.700000047684,,
4,0.3305615630298841,1,Composite,0,5,67,0.6551899092379863,0.4691853680689877,1,25750.79999995232,,
4,0.3305615630298841,1,Composite,0,6,232,0.8004629146602638,0.2658221905124045,1,26630.599999904636,,
4,0.3305615630298841,1,Composite,0,7,359,0.6769295479941289,-0.23267340563624872,0,,,
4,0.3305615630298841,1,Composite,0,8,359,-0.6095174859183388,-1.534794213928846,0,,,
4,0.3305615630298841,1,Composite,0,9,106,0.7426595938967273,-0.6802314786734137,1,,,
4,0.3305615630298841,1,Composite,1,0,359,0.7268718698880053,1.3853518721909253,0,,,
4,0.3305615630298841,1,Composite,1,1,313,0.8697931177478467,-0.2143320011065628,1,16308.299999952316,,
4,0.3305615630298841,1,Composite,1,2,359,0.7094039993559931,-1.4532816987462092,0,,,
4,0.3305615630298841,1,Composite,1,3,359,-0.6833327132910327,0.7667023776149655,0,,,
4,0.3305615630298841,1,Composite,1,4,359,0.7050869324458724,-0.03066897730016427,0,,,
4,0.3305615630298841,1,Composite,1,5,359,0.7146521356116888,0.64534144302915,0,,,
4,0.3305615630298841,1,Composite,1,6,260,0.7964891394755452,0.0014885816968068788,1,27405.5,,
4,0.3305615630298841,1,Composite,1,7,323,0.6066528305355537,-0.6557049121654566,1,28442.200000047684,,
4,0.3305615630298841,1,Composite,1,8,263,0.7457230033546036,-0.11970532303250692,1,29428.700000047684,,
4,0.3305615630298841,1,Composite,1,9,359,0.8867624069156897,0.5679180790326597,0,,,
4,0.3305615630298841,1,Composite,2,0,262,0.8224350905221187,-1.4791238384615693,1,15244.099999904633,,
