trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2
1,0.3203867281094963,1,None,0,0,380,0.8,0,0,,,
1,0.3203867281094963,1,None,0,1,329,0.8,0,1,1472.600000023842,,
1,0.3203867281094963,1,None,0,2,227,0.8,0,1,1852.9000000357628,,
1,0.3203867281094963,1,None,0,3,380,0.8,0,0,,,
1,0.3203867281094963,1,None,1,0,380,0.8,0,0,,,
1,0.3203867281094963,1,None,1,1,256,0.8,0,1,1076.7000000476835,,
1,0.3203867281094963,1,None,1,2,380,0.8,0,0,,,
1,0.3203867281094963,1,None,1,3,154,0.8,0,1,2374.700000047684,,
1,0.3203867281094963,1,None,2,0,380,0.8,0,0,,,
1,0.3203867281094963,1,None,2,1,380,0.8,0,0,,,
1,0.3203867281094963,1,None,2,2,380,0.8,0,0,,,
1,0.3203867281094963,1,None,2,3,380,0.8,0,0,,,
1,0.3203867281094963,1,None,3,0,380,-0.8,0,0,,,
1,0.3203867281094963,1,None,3,1,380,0.8,0,0,,,
1,0.3203867281094963,1,None,3,2,380,-0.8,0,0,,,
1,0.3203867281094963,1,None,3,3,50,0.8,0,1,2834.800000011921,,
1,0.3203867281094963,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,13825.600000023842,335.0,
2,0.3432971315625729,1,Scale,0,0,293,0.8046482302966738,0,1,2152.0,,
2,0.3432971315625729,1,Scale,0,1,151,0.7024693318516926,0,0,,,
2,0.3432971315625729,1,Scale,0,2,151,0.6086748981765451,0,0,,,
2,0.3432971315625729,1,Scale,0,3,151,0.8510143473345901,0,0,,,
2,0.3432971315625729,1,Scale,0,4,151,0.856067123000517,0,0,,,
2,0.3432971315625729,1,Scale,0,5,332,0.7967994333229782,0,1,6680.0,,
2,0.3432971315625729,1,Scale,1,0,234,0.8059149024505409,0,1,1582.399999976158,,
2,0.3432971315625729,1,Scale,1,1,192,-0.6836731373967375,0,1,2790.0,,
2,0.3432971315625729,1,Scale,1,2,151,0.7225302963623185,0,0,,,
2,0.3432971315625729,1,Scale,1,3,151,0.8372337934635209,0,0,,,
2,0.3432971315625729,1,Scale,1,4,327,0.736483915154558,0,1,7776.299999952316,,
2,0.3432971315625729,1,Scale,1,5,194,0.827249367913398,0,1,6042.099999964237,,
2,0.3432971315625729,1,Scale,2,0,8,0.7854303764232873,0,1,1174.0999999642372,,
2,0.3432971315625729,1,Scale,2,1,151,0.8567388232126213,0,0,3412.0,12775.899999976158,
2,0.3432971315625729,1,Scale,2,2,151,0.6271968588609445,0,0,,,
2,0.3432971315625729,1,Scale,2,3,151,0.8478929948384171,0,0,,,
2,0.3432971315625729,1,Scale,2,4,151,0.8103799907717125,0,0,,,
2,0.3432971315625729,1,Scale,2,5,128,0.7160038204941226,0,1,7318.5,,
2,0.3432971315625729,1,Scale,3,0,151,-0.652312003039039,0,0,,,
2,0.3432971315625729,1,Scale,3,1,151,0.654946920044917,0,0,,,
2,0.3432971315625729,1,Scale,3,2,151,0.8415499950161611,0,0,,,
2,0.3432971315625729,1,Scale,3,3,151,0.6833124246068106,0,0,,,
2,0.3432971315625729,1,Scale,3,4,151,-0.7831058977359381,0,0,,,
2,0.3432971315625729,1,Scale,3,5,151,0.7677523382287517,0,0,,,
2,0.3432971315625729,1,Scale,4,0,151,-0.7847075490825404,0,0,,,
2,0.3432971315625729,1,Scale,4,1,151,0.8226965102660495,0,0,,,
2,0.3432971315625729,1,Scale,4,2,268,0.7650696058852593,0,1,4403.399999976158,,
2,0.3432971315625729,1,Scale,4,3,151,0.6145964010713657,0,0,,,
2,0.3432971315625729,1,Scale,4,4,151,0.8763675441489002,0,0,,,
2,0.3432971315625729,1,Scale,4,5,151,0.7566514753233997,0,0,,,
2,0.3432971315625729,1,Scale,5,0,151,0.7400972955493426,0,0,,,
2,0.3432971315625729,1,Scale,5,1,151,0.6040130362696668,0,0,,,
2,0.3432971315625729,1,Scale,5,2,241,0.6313638627352065,0,1,4870.299999952316,,
2,0.3432971315625729,1,Scale,5,3,6,0.7469425515473086,0,1,5310.0,,
2,0.3432971315625729,1,Scale,5,4,113,0.6036257245402936,0,1,8402.099999964237,,
2,0.3432971315625729,1,Scale,5,5,151,-0.7410453002784515,0,0,,,
2,0.3432971315625729,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,34625.60000002384,401.0,
3,0.331504613292672,1,Composite,0,0,27,0.8392647341738939,0.4645304429139916,1,1139.699999988079,,
