trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2
1,0.3461950629186795,1,Scale,0,0,163,-0.6086666698324242,0,0,,,
1,0.3461950629186795,1,Scale,0,1,163,0.8874531871656286,0,0,,,
1,0.3461950629186795,1,Scale,0,2,163,0.7623415809267772,0,0,,,
1,0.3461950629186795,1,Scale,0,3,358,0.655370017762562,0,1,3038.8000000002794,,
1,0.3461950629186795,1,Scale,1,0,163,0.8130886714637722,0,0,,,
1,0.3461950629186795,1,Scale,1,1,83,0.7838460975456318,0,1,1790.8999999999069,,
1,0.3461950629186795,1,Scale,1,2,163,0.8837293235245101,0,0,,,
1,0.3461950629186795,1,Scale,1,3,217,0.7449513618162212,0,1,2758.600000000093,,
1,0.3461950629186795,1,Scale,2,0,163,-0.6262844882067679,0,0,,,
1,0.3461950629186795,1,Scale,2,1,163,0.8113626083431843,0,0,,,
1,0.3461950629186795,1,Scale,2,2,213,0.8035614943977413,0,1,2126.7000000001863,,
1,0.3461950629186795,1,Scale,2,3,27,0.7451458676009174,0,1,2415.0,,
1,0.3461950629186795,1,Scale,3,0,163,0.7071206342401846,0,0,,,
1,0.3461950629186795,1,Scale,3,1,163,0.7257880240765424,0,0,,,
1,0.3461950629186795,1,Scale,3,2,163,0.6046590122630177,0,0,,,
1,0.3461950629186795,1,Scale,3,3,163,0.841793213478615,0,0,,,
1,0.3461950629186795,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,12102.5,369.0,
2,0.3757767063058366,1,Scale,0,0,154,0.6209422936147239,0,0,,,
2,0.3757767063058366,1,Scale,0,1,154,0.7236411153060289,0,0,,,
2,0.3757767063058366,1,Scale,0,2,264,0.7564244441817267,0,1,2886.5,,
2,0.3757767063058366,1,Scale,0,3,154,-0.7972708790050266,0,0,,,
2,0.3757767063058366,1,Scale,0,4,154,0.6830114338868061,0,0,,,
2,0.3757767063058366,1,Scale,0,5,117,0.7521949197856084,0,1,5721.5,,
2,0.3757767063058366,1,Scale,1,0,154,0.7089895885846925,0,0,,,
2,0.3757767063058366,1,Scale,1,1,154,0.7952196270347551,0,0,,,
2,0.3757767063058366,1,Scale,1,2,141,0.8029972638053793,0,1,3230.100000000093,,
2,0.3757767063058366,1,Scale,1,3,96,0.6530300941253783,0,1,3598.399999999907,,
2,0.3757767063058366,1,Scale,1,4,154,0.6245785806264933,0,0,,,
